Worker,Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
worker 1,2026-07-27 13:07:41.012,-1.04,0.39,-0.37,3.6,-66.89,-19.35
worker 1,2026-07-27 13:07:41.012,-0.88,0.36,0.02,-62.56,32.59,-5.25
worker 1,2026-07-27 13:07:41.012,-0.89,0.53,-0.02,-45.17,6.53,-22.89
worker 1,2026-07-27 13:07:41.164,-0.88,0.55,-0.06,-29.36,-1.4,-18.31
worker 1,2026-07-27 13:07:41.165,-0.88,0.48,-0.15,-25.51,3.78,0.67
worker 1,2026-07-27 13:07:41.165,-0.92,0.39,-0.21,-17.4,5.74,12.57
worker 1,2026-07-27 13:07:41.464,-0.95,0.31,-0.2,-0.37,5.68,12.7
worker 1,2026-07-27 13:07:41.465,-0.95,0.31,-0.2,-0.37,5.68,12.7
worker 1,2026-07-27 13:07:41.467,-0.93,0.26,-0.12,10.07,6.04,7.14
worker 1,2026-07-27 13:07:41.467,-0.91,0.28,-0.07,1.71,5.62,1.83
worker 1,2026-07-27 13:07:41.526,-0.91,0.28,-0.07,1.71,5.62,1.83
worker 1,2026-07-27 13:07:41.527,-0.91,0.28,-0.07,1.71,5.62,1.83
worker 1,2026-07-27 13:07:41.527,-0.88,0.47,-0.13,-17.7,0.06,-4.39
worker 1,2026-07-27 13:07:41.527,-0.88,0.47,-0.13,-7.87,-3.23,-2.32
worker 1,2026-07-27 13:07:41.645,-0.88,0.47,-0.13,-7.87,-3.23,-2.32
worker 1,2026-07-27 13:07:41.646,-0.91,0.36,-0.15,7.81,-3.3,6.77
worker 1,2026-07-27 13:07:41.646,-0.91,0.35,-0.17,8.0,-3.36,5.8
worker 1,2026-07-27 13:07:41.647,-0.9,0.37,-0.17,5.98,-3.72,2.56
worker 1,2026-07-27 13:07:42.305,-0.9,0.37,-0.17,5.98,-3.72,2.56
worker 1,2026-07-27 13:07:43.864,-0.89,0.4,-0.16,2.81,-2.75,0.98
worker 1,2026-07-27 13:07:43.865,-0.89,0.4,-0.16,2.81,-2.75,0.98
worker 1,2026-07-27 13:07:43.865,-0.89,0.41,-0.16,-0.12,-0.85,1.71
worker 1,2026-07-27 13:07:43.866,-0.89,0.41,-0.15,-0.98,0.49,3.05
worker 1,2026-07-27 13:07:43.867,-0.89,0.41,-0.15,-0.49,0.73,3.54
worker 1,2026-07-27 13:07:43.868,-0.89,0.41,-0.15,-0.49,0.73,3.54
worker 1,2026-07-27 13:07:43.868,-0.89,0.41,-0.15,-0.92,0.37,2.75
worker 1,2026-07-27 13:07:43.870,-0.89,0.41,-0.15,-2.69,-0.12,1.34
worker 1,2026-07-27 13:07:43.983,-0.89,0.42,-0.15,-5.13,-0.31,0.24
worker 1,2026-07-27 13:07:43.985,-0.89,0.42,-0.15,-5.13,-0.31,0.24
worker 1,2026-07-27 13:07:43.987,-0.89,0.42,-0.14,-7.69,0.06,-0.37
worker 1,2026-07-27 13:07:43.988,-0.89,0.42,-0.13,-9.89,0.79,-0.79
worker 1,2026-07-27 13:07:43.988,-0.89,0.42,-0.13,-11.66,1.65,-1.22
worker 1,2026-07-27 13:07:43.989,-0.89,0.41,-0.13,-13.85,2.14,-1.46
worker 1,2026-07-27 13:07:43.989,-0.89,0.41,-0.13,-16.78,2.38,-1.89
worker 1,2026-07-27 13:07:43.989,-0.89,0.41,-0.13,-19.59,2.38,-2.69
worker 1,2026-07-27 13:07:43.990,-0.89,0.41,-0.12,-19.59,2.38,-2.69
worker 1,2026-07-27 13:07:43.991,-0.88,0.43,-0.11,-21.06,2.44,-3.05
worker 1,2026-07-27 13:07:43.991,-0.89,0.45,-0.11,-20.02,2.44,-2.99
worker 1,2026-07-27 13:07:43.995,-0.88,0.46,-0.1,-13.67,0.67,-3.3
worker 1,2026-07-27 13:07:43.996,-0.87,0.45,-0.09,-3.3,-2.81,-3.48
worker 1,2026-07-27 13:07:43.997,-0.87,0.45,-0.09,-3.3,-2.81,-3.48
worker 1,2026-07-27 13:07:43.997,-0.88,0.43,-0.09,5.86,-5.43,-2.32
worker 1,2026-07-27 13:07:43.998,-0.89,0.41,-0.1,10.13,-5.86,0.12
worker 1,2026-07-27 13:07:43.998,-0.9,0.41,-0.12,10.5,-5.49,1.89
worker 1,2026-07-27 13:07:43.998,-0.9,0.42,-0.13,11.72,-6.65,1.16
worker 1,2026-07-27 13:07:43.999,-0.9,0.42,-0.13,11.72,-6.65,1.16
worker 1,2026-07-27 13:07:43.999,-0.89,0.41,-0.13,14.1,-9.34,-1.46
worker 1,2026-07-27 13:07:44.000,-0.89,0.38,-0.13,12.02,-10.74,-2.93
worker 1,2026-07-27 13:07:44.000,-0.9,0.36,-0.14,2.87,-7.51,-1.83
worker 1,2026-07-27 13:07:44.001,-0.9,0.36,-0.14,2.87,-7.51,-1.83
worker 1,2026-07-27 13:07:44.344,-0.91,0.37,-0.12,-5.86,-1.1,-0.67
worker 1,2026-07-27 13:07:44.344,-0.91,0.37,-0.12,-6.59,3.54,-1.77
worker 1,2026-07-27 13:07:44.584,-0.9,0.42,-0.09,-6.59,3.54,-1.77
worker 1,2026-07-27 13:07:44.585,-0.9,0.46,-0.05,-0.12,3.54,-4.7
worker 1,2026-07-27 13:07:44.586,-0.9,0.46,-0.05,-0.12,3.54,-4.7
worker 1,2026-07-27 13:07:44.586,-0.88,0.47,-0.03,6.84,-0.43,-6.96
worker 1,2026-07-27 13:07:44.587,-0.88,0.45,-0.05,9.09,-5.25,-5.68
worker 1,2026-07-27 13:07:44.588,-0.89,0.41,-0.08,9.03,-7.75,-1.65
worker 1,2026-07-27 13:07:44.589,-0.91,0.38,-0.1,10.13,-7.02,1.53
worker 1,2026-07-27 13:07:44.591,-0.91,0.38,-0.1,10.13,-7.02,1.53
worker 1,2026-07-27 13:07:44.591,-0.92,0.36,-0.11,12.08,-4.03,2.14
worker 1,2026-07-27 13:07:44.593,-0.92,0.36,-0.11,12.08,-4.03,2.14
worker 1,2026-07-27 13:07:44.594,-0.92,0.36,-0.1,12.08,-1.1,0.98
worker 1,2026-07-27 13:07:44.594,-0.92,0.36,-0.1,7.32,0.24,-0.67
worker 1,2026-07-27 13:07:44.595,-0.89,0.42,-0.13,-5.43,-1.89,1.46
worker 1,2026-07-27 13:07:44.595,-0.9,0.41,-0.16,-3.36,-2.81,1.34
worker 1,2026-07-27 13:07:44.597,-0.9,0.41,-0.16,-3.36,-2.81,1.34
worker 1,2026-07-27 13:07:44.598,-0.9,0.4,-0.15,0.06,-2.2,0.73
worker 1,2026-07-27 13:07:44.598,-0.9,0.39,-0.14,1.89,-0.67,0.73
worker 1,2026-07-27 13:07:44.598,-0.9,0.38,-0.12,1.83,0.55,0.85
worker 1,2026-07-27 13:07:44.599,-0.9,0.38,-0.12,1.83,0.55,0.85
worker 1,2026-07-27 13:07:44.599,-0.9,0.38,-0.12,0.73,1.04,0.37
worker 1,2026-07-27 13:07:44.599,-0.9,0.39,-0.11,-0.85,1.46,-0.49
worker 1,2026-07-27 13:07:44.599,-0.9,0.39,-0.11,-3.23,2.08,-0.79
worker 1,2026-07-27 13:07:44.600,-0.9,0.4,-0.09,-3.23,2.08,-0.79
worker 1,2026-07-27 13:07:44.884,-0.9,0.4,-0.09,-5.74,2.44,-0.12
worker 1,2026-07-27 13:07:45.076,-0.9,0.4,-0.09,-5.74,2.44,-0.12
worker 1,2026-07-27 13:07:45.076,-0.89,0.4,-0.09,-7.87,2.26,1.04
worker 1,2026-07-27 13:07:45.076,-0.89,0.4,-0.1,-9.7,1.65,1.83
worker 1,2026-07-27 13:07:45.077,-0.89,0.4,-0.1,-9.7,1.65,1.83
worker 1,2026-07-27 13:07:45.077,-0.89,0.41,-0.11,-11.11,0.79,1.71
worker 1,2026-07-27 13:07:45.077,-0.89,0.43,-0.12,-10.68,0.12,0.98
worker 1,2026-07-27 13:07:45.077,-0.89,0.43,-0.12,-7.63,0.06,0.49
worker 1,2026-07-27 13:07:45.077,-0.89,0.44,-0.12,-7.63,0.06,0.49
worker 1,2026-07-27 13:07:45.078,-0.89,0.44,-0.12,-3.3,0.12,0.73
worker 1,2026-07-27 13:07:45.078,-0.89,0.43,-0.11,0.31,-0.18,0.98
worker 1,2026-07-27 13:07:45.184,-0.89,0.43,-0.11,0.31,-0.18,0.98
worker 1,2026-07-27 13:07:45.184,-0.89,0.42,-0.1,2.5,-1.1,0.73
worker 1,2026-07-27 13:07:45.185,-0.89,0.42,-0.11,3.48,-2.14,0.24
worker 1,2026-07-27 13:07:45.195,-0.89,0.42,-0.11,3.48,-2.14,0.24
worker 1,2026-07-27 13:07:45.195,-0.89,0.42,-0.11,4.09,-3.11,-0.06
worker 1,2026-07-27 13:07:45.198,-0.89,0.42,-0.11,4.09,-3.11,-0.06
worker 1,2026-07-27 13:07:45.198,-0.89,0.42,-0.11,4.82,-3.72,-0.18
worker 1,2026-07-27 13:07:45.198,-0.89,0.42,-0.11,5.31,-4.03,0.0
worker 1,2026-07-27 13:07:45.198,-0.89,0.41,-0.12,5.31,-4.03,0.0
worker 1,2026-07-27 13:07:45.199,-0.89,0.4,-0.12,4.64,-4.09,0.24
worker 1,2026-07-27 13:07:45.199,-0.89,0.41,-0.12,3.3,-3.91,0.18
worker 1,2026-07-27 13:07:45.604,-0.89,0.41,-0.12,3.3,-3.91,0.18
worker 1,2026-07-27 13:07:45.664,-0.9,0.41,-0.12,2.56,-3.85,-0.18
worker 1,2026-07-27 13:07:45.784,-0.9,0.41,-0.12,2.56,-3.85,-0.18
worker 1,2026-07-27 13:07:45.785,-0.89,0.4,-0.12,2.32,-4.64,-0.37
worker 1,2026-07-27 13:07:45.786,-0.89,0.39,-0.12,1.16,-5.0,-0.06
worker 1,2026-07-27 13:07:45.904,-0.9,0.38,-0.13,-1.4,-3.85,0.55
worker 1,2026-07-27 13:07:47.403,-0.9,0.38,-0.13,-1.4,-3.85,0.55
worker 1,2026-07-27 13:07:47.404,-0.9,0.39,-0.13,-4.15,-2.08,0.37
worker 1,2026-07-27 13:07:47.405,-0.9,0.4,-0.12,-6.16,-0.43,-0.73
worker 1,2026-07-27 13:07:47.405,-0.9,0.44,-0.12,-8.42,1.16,-1.65
worker 1,2026-07-27 13:07:47.409,-0.9,0.44,-0.12,-8.42,1.16,-1.65
worker 1,2026-07-27 13:07:47.409,-0.92,0.48,-0.15,-11.11,3.72,-0.67
worker 1,2026-07-27 13:07:47.410,-0.92,0.48,-0.15,-11.11,3.72,-0.67
worker 1,2026-07-27 13:07:47.410,-0.93,0.5,-0.19,-12.39,8.48,3.42
worker 1,2026-07-27 13:07:47.410,-0.93,0.49,-0.23,-9.7,15.75,9.03
worker 1,2026-07-27 13:07:47.411,-0.92,0.47,-0.24,-1.59,26.92,12.7
worker 1,2026-07-27 13:07:47.412,-0.93,0.46,-0.26,8.24,40.77,10.56
worker 1,2026-07-27 13:07:47.412,-0.92,0.46,-0.25,21.06,46.39,1.65
worker 1,2026-07-27 13:07:47.413,-0.92,0.46,-0.25,21.06,46.39,1.65
worker 1,2026-07-27 13:07:47.414,-0.88,0.46,-0.2,38.39,40.04,-8.85
worker 1,2026-07-27 13:07:47.415,-0.82,0.44,-0.16,50.48,36.56,-13.31
worker 1,2026-07-27 13:07:47.416,-0.79,0.37,-0.17,50.66,37.29,-10.99
worker 1,2026-07-27 13:07:47.644,-0.79,0.37,-0.17,50.66,37.29,-10.99
worker 1,2026-07-27 13:07:47.885,-0.79,0.28,-0.23,44.25,27.53,-9.83
worker 1,2026-07-27 13:07:48.249,-0.79,0.28,-0.23,37.78,8.91,-15.01
worker 1,2026-07-27 13:07:48.249,-0.79,0.23,-0.27,37.78,8.91,-15.01
worker 1,2026-07-27 13:07:48.249,-0.8,0.22,-0.29,32.1,-7.51,-23.25
worker 1,2026-07-27 13:07:48.724,-0.8,0.22,-0.29,32.1,-7.51,-23.25
worker 1,2026-07-27 13:07:48.725,-0.82,0.23,-0.3,25.02,-17.64,-29.79
worker 1,2026-07-27 13:07:48.725,-0.8,0.3,-0.31,14.71,-18.98,-31.74
worker 1,2026-07-27 13:07:48.726,-0.76,0.4,-0.36,8.67,-18.74,-28.56
worker 1,2026-07-27 13:07:48.727,-0.82,0.41,-0.4,9.89,-26.79,-19.84
worker 1,2026-07-27 13:07:48.728,-0.98,0.27,-0.4,10.38,-33.87,-7.32
worker 1,2026-07-27 13:07:48.729,-0.98,0.27,-0.4,10.38,-33.87,-7.32
worker 1,2026-07-27 13:07:48.730,-1.11,0.16,-0.38,3.54,-32.41,0.06
worker 1,2026-07-27 13:07:48.730,-1.1,0.22,-0.35,-9.46,-29.54,-2.44
worker 1,2026-07-27 13:07:48.734,-1.1,0.22,-0.35,-9.46,-29.54,-2.44
worker 1,2026-07-27 13:07:48.735,-0.98,0.37,-0.27,-20.32,-25.33,-7.2
worker 1,2026-07-27 13:07:48.736,-0.83,0.4,-0.17,-30.76,-19.9,-6.96
worker 1,2026-07-27 13:07:48.736,-0.83,0.4,-0.17,-28.14,-26.37,-2.99
worker 1,2026-07-27 13:07:48.736,-0.83,0.31,-0.11,-28.14,-26.37,-2.99
worker 1,2026-07-27 13:07:48.850,-0.92,0.22,-0.11,-2.01,-39.86,2.14
worker 1,2026-07-27 13:07:48.906,-0.92,0.22,-0.11,-2.01,-39.86,2.14
worker 1,2026-07-27 13:07:48.906,-0.96,0.19,-0.1,20.39,-44.43,4.15
worker 1,2026-07-27 13:07:48.907,-0.96,0.19,-0.1,20.39,-44.43,4.15
worker 1,2026-07-27 13:07:48.907,-0.96,0.19,-0.04,22.46,-41.99,1.83
worker 1,2026-07-27 13:07:48.908,-0.96,0.19,-0.04,22.46,-41.99,1.83
worker 1,2026-07-27 13:07:48.908,-0.96,0.19,0.0,9.77,-36.19,0.79
worker 1,2026-07-27 13:07:48.908,-0.96,0.21,0.03,-11.84,-25.02,1.59
worker 1,2026-07-27 13:07:48.908,-0.96,0.21,0.03,-37.17,-9.4,2.08
worker 1,2026-07-27 13:07:48.908,-0.95,0.25,0.03,-37.17,-9.4,2.08
worker 1,2026-07-27 13:07:48.909,-0.97,0.28,0.0,-56.88,3.85,2.14
worker 1,2026-07-27 13:07:48.909,-0.99,0.27,-0.02,-56.64,8.0,1.77
worker 1,2026-07-27 13:07:48.911,-0.98,0.23,-0.01,-32.9,5.0,1.28
worker 1,2026-07-27 13:07:48.911,-0.71,0.42,-0.12,-61.28,12.63,-10.38
worker 1,2026-07-27 13:07:48.912,-0.92,0.54,-0.15,-50.35,-15.01,-28.26
worker 1,2026-07-27 13:07:48.912,-1.1,0.61,-0.28,-34.0,-32.84,-41.32
worker 1,2026-07-27 13:07:48.913,-0.94,0.43,-0.19,-8.36,-28.93,-36.56
worker 1,2026-07-27 13:07:48.914,-0.94,0.43,-0.19,-8.36,-28.93,-36.56
worker 1,2026-07-27 13:07:48.914,-0.87,0.21,-0.03,11.66,-23.38,-17.7
worker 1,2026-07-27 13:07:48.915,-0.95,0.18,-0.02,17.82,-36.99,-9.64
worker 1,2026-07-27 13:07:48.924,-0.93,0.24,-0.03,27.71,-57.25,-21.73
worker 1,2026-07-27 13:07:48.924,-0.93,0.24,-0.03,27.77,-60.49,-31.43
worker 1,2026-07-27 13:07:48.925,-0.91,0.27,-0.04,27.77,-60.49,-31.43
worker 1,2026-07-27 13:07:48.925,-0.94,0.23,-0.03,14.4,-40.71,-21.73
worker 1,2026-07-27 13:07:48.963,-0.94,0.23,-0.03,14.4,-40.71,-21.73
worker 1,2026-07-27 13:07:48.964,-0.98,0.18,-0.02,9.4,-17.21,-6.59
worker 1,2026-07-27 13:07:48.964,-1.01,0.16,-0.02,12.82,-7.26,-1.16
worker 1,2026-07-27 13:07:48.965,-1.01,0.16,-0.02,12.82,-7.26,-1.16
worker 1,2026-07-27 13:07:48.965,-1.0,0.18,-0.02,22.52,-10.56,-4.64
worker 1,2026-07-27 13:07:48.966,-0.97,0.19,-0.02,43.21,-21.48,-12.02
worker 1,2026-07-27 13:07:48.967,-0.94,0.19,-0.01,67.69,-32.17,-16.72
worker 1,2026-07-27 13:07:48.968,-0.97,0.11,-0.04,26.79,-10.07,-3.6
worker 1,2026-07-27 13:07:48.969,-0.97,0.12,-0.06,33.08,-28.99,-8.42
worker 1,2026-07-27 13:07:49.204,-0.97,0.12,-0.06,33.08,-28.99,-8.42
worker 1,2026-07-27 13:07:49.204,-1.1,0.32,0.14,-6.41,147.09,36.93
worker 1,2026-07-27 13:07:49.205,-1.13,0.32,0.07,23.07,132.75,37.78
worker 1,2026-07-27 13:07:49.383,-0.98,0.35,-0.04,40.77,86.06,21.67
worker 1,2026-07-27 13:07:49.384,-0.83,0.32,-0.07,42.18,53.28,11.11
worker 1,2026-07-27 13:07:49.384,-0.78,0.22,-0.04,36.44,36.44,5.55
worker 1,2026-07-27 13:07:49.443,-0.77,0.19,-0.01,33.26,25.94,-4.58
worker 1,2026-07-27 13:07:49.444,-0.77,0.19,-0.01,33.26,25.94,-4.58
worker 1,2026-07-27 13:07:49.444,-0.73,0.24,-0.03,14.59,18.37,-13.43
worker 1,2026-07-27 13:07:49.445,-0.73,0.24,-0.03,14.59,18.37,-13.43
worker 1,2026-07-27 13:07:49.445,-0.74,0.24,-0.16,-5.0,3.66,-11.96
worker 1,2026-07-27 13:07:49.445,-0.74,0.24,-0.16,-6.35,-16.42,-4.88
worker 1,2026-07-27 13:07:49.446,-0.88,0.2,-0.39,-6.35,-16.42,-4.88
worker 1,2026-07-27 13:07:49.446,-1.01,0.24,-0.65,-10.19,-21.42,-2.87
worker 1,2026-07-27 13:07:49.447,-1.01,0.24,-0.65,-10.19,-21.42,-2.87
worker 1,2026-07-27 13:07:49.457,-0.98,0.3,-0.65,-32.84,-2.38,-3.78
worker 1,2026-07-27 13:07:49.459,-0.98,0.3,-0.65,-32.84,-2.38,-3.78
worker 1,2026-07-27 13:07:49.460,-1.13,0.26,-0.3,-64.58,8.18,-8.42
worker 1,2026-07-27 13:07:49.460,-1.19,0.27,0.0,-79.35,-8.0,-18.68
worker 1,2026-07-27 13:07:49.461,-1.19,0.27,0.0,-61.4,-21.61,-17.82
worker 1,2026-07-27 13:07:50.103,-0.85,0.37,0.05,-61.4,-21.61,-17.82
worker 1,2026-07-27 13:07:50.104,-0.7,0.36,0.1,-33.81,-23.25,-4.94
worker 1,2026-07-27 13:07:50.105,-0.7,0.36,0.1,-33.81,-23.25,-4.94
worker 1,2026-07-27 13:07:50.105,-0.83,0.24,0.11,-27.59,-17.64,10.68
worker 1,2026-07-27 13:07:50.106,-0.83,0.24,0.11,-27.59,-17.64,10.68
worker 1,2026-07-27 13:07:50.223,-1.0,0.15,-0.04,-35.22,-23.38,19.84
worker 1,2026-07-27 13:07:50.224,-1.06,0.15,-0.11,-18.37,-53.28,4.15
worker 1,2026-07-27 13:07:50.283,-1.02,0.23,-0.06,14.16,-65.8,-21.0
worker 1,2026-07-27 13:07:50.297,-1.02,0.23,-0.06,14.16,-65.8,-21.0
worker 1,2026-07-27 13:07:50.297,-0.98,0.28,0.01,12.08,-41.81,-24.23
worker 1,2026-07-27 13:07:50.298,-0.98,0.28,0.01,12.08,-41.81,-24.23
worker 1,2026-07-27 13:07:50.298,-0.97,0.26,0.05,-21.18,-8.67,-9.09
worker 1,2026-07-27 13:07:51.425,-0.96,0.22,0.07,-42.42,9.34,2.99
worker 1,2026-07-27 13:07:51.426,-0.96,0.22,0.07,-42.42,9.34,2.99
worker 1,2026-07-27 13:07:51.426,-0.95,0.21,0.05,-37.9,6.41,3.23
worker 1,2026-07-27 13:07:51.426,-0.94,0.23,0.02,-20.51,-6.9,-3.6
worker 1,2026-07-27 13:07:51.427,-0.94,0.23,0.02,-20.51,-6.9,-3.6
worker 1,2026-07-27 13:07:51.427,-0.93,0.24,0.01,-2.81,-17.88,-9.64
worker 1,2026-07-27 13:07:51.427,-0.92,0.23,0.02,4.39,-19.84,-9.09
worker 1,2026-07-27 13:07:51.428,-0.92,0.23,0.02,4.39,-19.84,-9.09
worker 1,2026-07-27 13:07:51.429,-0.94,0.21,0.02,-3.42,-11.9,-2.56
worker 1,2026-07-27 13:07:51.429,-0.97,0.21,-0.0,-14.89,-4.58,0.98
worker 1,2026-07-27 13:07:51.550,-0.97,0.21,-0.0,-14.89,-4.58,0.98
worker 1,2026-07-27 13:07:51.550,-0.99,0.24,-0.04,-9.46,-10.07,-4.82
worker 1,2026-07-27 13:07:51.550,-0.97,0.27,-0.05,15.5,-25.21,-15.01
worker 1,2026-07-27 13:07:51.551,-0.95,0.24,-0.06,37.84,-36.62,-19.17
worker 1,2026-07-27 13:07:51.551,-0.93,0.18,-0.06,48.22,-38.64,-14.1
worker 1,2026-07-27 13:07:51.552,-0.93,0.18,-0.06,48.22,-38.64,-14.1
worker 1,2026-07-27 13:07:51.552,-0.92,0.12,-0.06,55.85,-36.8,-7.14
worker 1,2026-07-27 13:07:51.553,-0.92,0.12,-0.06,55.85,-36.8,-7.14
worker 1,2026-07-27 13:07:51.553,-0.91,0.1,-0.04,51.03,-36.93,-2.69
worker 1,2026-07-27 13:07:51.553,-0.91,0.1,-0.04,32.59,-36.01,2.14
worker 1,2026-07-27 13:07:51.553,-0.91,0.09,-0.01,32.59,-36.01,2.14
worker 1,2026-07-27 13:07:51.553,-0.95,0.1,-0.0,13.0,-31.25,7.81
worker 1,2026-07-27 13:07:51.554,-1.11,0.1,0.0,-3.23,-31.19,9.58
worker 1,2026-07-27 13:07:51.554,-1.29,0.08,0.01,-11.78,-31.74,6.53
worker 1,2026-07-27 13:07:51.555,-1.22,0.12,0.02,-29.72,-16.3,-2.08
worker 1,2026-07-27 13:07:51.556,-0.97,0.27,0.08,-59.75,38.39,-8.91
worker 1,2026-07-27 13:07:51.557,-0.97,0.4,0.15,-49.8,121.4,1.4
worker 1,2026-07-27 13:07:51.558,-0.97,0.4,0.15,-49.8,121.4,1.4
worker 1,2026-07-27 13:07:51.558,-1.06,0.4,0.15,22.28,161.44,18.98
worker 1,2026-07-27 13:07:51.559,-1.06,0.4,0.15,22.28,161.44,18.98
worker 1,2026-07-27 13:07:51.559,-1.0,0.33,0.09,85.33,134.58,27.22
worker 1,2026-07-27 13:07:51.559,-0.92,0.22,0.02,77.39,87.95,31.25
worker 1,2026-07-27 13:07:51.560,-0.91,0.11,-0.01,25.63,52.49,32.1
worker 1,2026-07-27 13:07:52.383,-0.91,0.06,0.01,-13.73,35.28,17.4
worker 1,2026-07-27 13:07:52.384,-0.91,0.06,0.01,-13.73,35.28,17.4
worker 1,2026-07-27 13:07:52.384,-0.88,0.12,0.02,-20.69,25.27,-14.71
worker 1,2026-07-27 13:07:52.385,-0.88,0.12,0.02,-20.69,25.27,-14.71
worker 1,2026-07-27 13:07:52.385,-0.86,0.23,-0.04,-7.08,5.55,-46.51
worker 1,2026-07-27 13:07:52.386,-0.86,0.23,-0.04,-7.08,5.55,-46.51
worker 1,2026-07-27 13:07:52.387,-0.89,0.28,-0.19,4.15,-12.15,-54.99
worker 1,2026-07-27 13:07:52.389,-0.89,0.28,-0.19,4.15,-12.15,-54.99
worker 1,2026-07-27 13:07:52.389,-0.95,0.24,-0.32,-9.7,-9.77,-39.92
worker 1,2026-07-27 13:07:52.390,-0.93,0.17,-0.34,-46.75,5.92,-22.77
worker 1,2026-07-27 13:07:52.391,-0.93,0.17,-0.34,-46.75,5.92,-22.77
worker 1,2026-07-27 13:07:52.391,-0.89,0.17,-0.27,-74.28,13.12,-14.77
worker 1,2026-07-27 13:07:52.391,-1.02,0.25,-0.23,-67.87,0.12,-11.05
worker 1,2026-07-27 13:07:52.403,-1.11,0.36,-0.23,-45.23,-17.46,-3.11
worker 1,2026-07-27 13:07:52.405,-1.11,0.36,-0.23,-45.23,-17.46,-3.11
worker 1,2026-07-27 13:07:52.684,-0.96,0.4,-0.2,-31.68,-20.39,11.35
worker 1,2026-07-27 13:07:52.686,-0.96,0.4,-0.2,-31.68,-20.39,11.35
worker 1,2026-07-27 13:07:52.686,-0.93,0.27,-0.04,-35.34,-15.75,1.89
worker 1,2026-07-27 13:07:52.687,-0.96,0.24,-0.05,-35.34,-15.75,1.89
worker 1,2026-07-27 13:07:52.687,-0.98,0.19,-0.07,-6.65,-15.75,10.13
worker 1,2026-07-27 13:07:52.688,-1.02,0.1,-0.09,12.45,-20.2,14.89
worker 1,2026-07-27 13:07:52.743,-1.1,0.03,-0.13,13.12,-25.27,17.27
worker 1,2026-07-27 13:07:52.744,-1.1,0.03,-0.13,13.12,-25.27,17.27
worker 1,2026-07-27 13:07:52.744,-1.2,0.03,-0.1,5.43,-30.27,11.05
worker 1,2026-07-27 13:07:52.869,-1.15,0.09,-0.07,-22.16,-29.72,-6.29
worker 1,2026-07-27 13:07:52.869,-0.94,0.24,-0.04,-73.73,3.3,-17.58
worker 1,2026-07-27 13:07:52.870,-0.94,0.24,-0.04,-73.73,3.3,-17.58
worker 1,2026-07-27 13:07:52.870,-0.81,0.45,-0.01,-99.49,72.75,-10.44
worker 1,2026-07-27 13:07:52.871,-0.89,0.52,-0.0,-65.25,133.97,10.74
worker 1,2026-07-27 13:07:52.871,-1.11,0.35,0.03,2.08,148.32,35.34
worker 1,2026-07-27 13:07:52.871,-1.11,0.35,0.03,37.96,114.87,42.18
worker 1,2026-07-27 13:07:52.871,-1.16,0.16,0.06,37.96,114.87,42.18
worker 1,2026-07-27 13:07:52.872,-0.99,0.16,0.02,9.28,63.42,20.45
worker 1,2026-07-27 13:07:52.873,-0.99,0.16,0.02,9.28,63.42,20.45
worker 1,2026-07-27 13:07:53.104,-0.83,0.26,-0.01,-18.43,29.54,-11.29
worker 1,2026-07-27 13:07:53.105,-0.79,0.31,-0.01,-9.09,17.7,-32.71
worker 1,2026-07-27 13:07:53.106,-0.83,0.3,-0.01,4.39,11.23,-40.65
worker 1,2026-07-27 13:07:53.106,-0.85,0.3,-0.06,8.67,0.12,-42.54
worker 1,2026-07-27 13:07:53.106,-0.85,0.3,-0.06,4.82,-10.31,-40.47
worker 1,2026-07-27 13:07:53.108,-0.88,0.29,-0.17,4.82,-10.31,-40.47
worker 1,2026-07-27 13:07:53.109,-0.92,0.26,-0.29,-5.19,-11.78,-31.07
worker 1,2026-07-27 13:07:53.109,-0.97,0.21,-0.41,-21.85,-1.89,-17.4
worker 1,2026-07-27 13:07:53.110,-0.97,0.21,-0.41,-21.85,-1.89,-17.4
worker 1,2026-07-27 13:07:53.111,-0.97,0.11,-0.45,-39.12,16.66,-10.31
worker 1,2026-07-27 13:07:53.112,-0.84,0.06,-0.37,-50.6,28.75,-12.27
worker 1,2026-07-27 13:07:53.113,-0.84,0.06,-0.37,-50.6,28.75,-12.27
worker 1,2026-07-27 13:07:53.114,-0.75,0.07,-0.13,-63.35,14.65,-9.22
worker 1,2026-07-27 13:07:53.114,-1.1,0.21,-0.02,-71.23,-17.64,-0.12
worker 1,2026-07-27 13:07:53.116,-1.36,0.44,-0.33,-41.87,-45.53,-0.12
worker 1,2026-07-27 13:07:53.117,-0.99,0.52,-0.39,-1.1,-46.33,-4.94
worker 1,2026-07-27 13:07:53.117,-0.65,0.36,0.04,-3.54,-17.21,4.21
worker 1,2026-07-27 13:07:53.118,-0.65,0.36,0.04,-3.54,-17.21,4.21
worker 1,2026-07-27 13:07:53.118,-0.8,0.15,0.17,-27.16,5.37,30.4
worker 1,2026-07-27 13:07:53.118,-1.05,0.05,-0.02,-12.21,-22.89,40.53
worker 1,2026-07-27 13:07:53.119,-1.05,0.05,-0.02,-12.21,-22.89,40.53
worker 1,2026-07-27 13:07:53.119,-1.06,0.1,-0.04,27.34,-63.96,14.53
worker 1,2026-07-27 13:07:53.120,-1.06,0.1,-0.04,27.34,-63.96,14.53
