Worker,Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,AccX_smooth,AccY_smooth,AccZ_smooth,GyroX_smooth,GyroY_smooth,GyroZ_smooth
worker 1,2026-07-27 13:06:50.046,0.9758460246612093,-0.16533569263354653,0.8066637089847702,0.02884681192618532,-0.040367057505288254,0.025253788776884337,0.9943344930619544,-0.16750410083987188,0.8213443637662712,0.03204446550324114,-0.047196751584330565,0.025573626910786813
worker 1,2026-07-27 13:06:50.107,0.5113163384676216,-0.08465628233439436,0.8390429657275584,0.24082989465849394,-0.8614491002768003,1.9768050436183031,0.7565848614240672,-0.12573612339875317,0.8380477006836764,0.1527107354917709,-0.508245502907129,1.2753214049748538
worker 1,2026-07-27 13:06:50.108,0.3505176009390721,0.29857091658657836,0.7419051954991941,0.23515810649174324,-0.25691616768678593,1.8025071973974816,0.6224696846026949,0.020451797645162265,0.8102088058213345,0.19078047284601163,-0.43562610251562595,1.537958132618633
worker 1,2026-07-27 13:06:50.164,0.3505176009390721,0.2784010640117903,0.7904740806133762,-0.19188027756319734,0.03468689545534448,0.8173604098790728,0.5554120961920088,0.08832476098698014,0.8088168610782173,0.08827467827381577,-0.3174468563182486,1.3869036810897335
worker 1,2026-07-27 13:06:50.165,0.3505176009390721,0.2784010640117903,0.7904740806133762,-0.19188027756319734,0.03468689545534448,0.8173604098790728,0.5151775431455972,0.1290485389920709,0.807981694232347,0.026771201530498254,-0.24653930859982223,1.2962710101723942
worker 1,2026-07-27 13:06:50.225,0.3505176009390721,0.2784010640117903,0.7904740806133762,-0.19188027756319734,0.03468689545534448,0.8173604098790728,0.3871585107251963,0.22093808936253204,0.8046410268488657,-0.023486232658704337,-0.22968178182817947,1.4779043500908442
worker 1,2026-07-27 13:06:50.225,0.600648970427927,-0.32669451323185084,0.8876118508417407,-0.9838037003457685,-0.1279300026260264,-0.27829155603912065,0.4054469439281107,0.17081651643318957,0.8146630289993092,-0.30232351742149643,-0.06492939586597665,0.9084010298776551
worker 1,2026-07-27 13:06:50.294,0.5827824440358659,-0.3468643658066389,0.8390429657275584,-0.6751638942717493,-0.06784582716847072,-0.12032875952988543,0.4529968702556882,0.03715898862160977,0.8347070333001954,-0.5095950768399208,-0.022463167222657968,0.46748675436505316
worker 1,2026-07-27 13:06:50.294,0.5291828648596827,-0.2056753977831226,0.8552325940989525,-0.20629607248702211,-0.040367057505288254,0.1763386696180832,0.48957373666151693,-0.0630841572370751,0.8480697028341195,-0.5128774146188729,-0.039320693994300736,0.32049780547591106
worker 1,2026-07-27 13:06:50.344,0.5291828648596827,-0.2056753977831226,0.8552325940989525,-0.20629607248702211,-0.040367057505288254,0.1763386696180832,0.5261506030673457,-0.16332730309576002,0.8614323723680438,-0.5161597523978252,-0.05617822076594354,0.1735088565867689
worker 1,2026-07-27 13:06:50.345,0.5113163384676216,-0.1451658400587585,0.8552325940989525,-0.004474943553475229,-0.0629242564825276,0.28684384801786744,0.5590697828325918,-0.25104005572210925,0.874795041901968,-0.47348936127144653,-0.07810221733234232,0.051859204323008216
worker 1,2026-07-27 13:06:50.405,0.5470493912517438,-0.2056753977831226,0.8552325940989525,-0.038978321567875514,-0.0629242564825276,0.19467977806618017,0.5480967229108431,-0.225979269257438,0.8681137071350059,-0.25836171470995617,-0.06350157256018178,0.16031349672583373
worker 1,2026-07-27 13:06:50.407,0.5649159176438049,-0.2661849555074867,0.8552325940989525,-0.0864795474644129,-0.036675879490830905,0.0825697526771874,0.5444390362702602,-0.2092720782809905,0.871454374518487,-0.12432395393339984,-0.056500632480155265,0.20683896874546565
worker 1,2026-07-27 13:06:50.463,0.5649159176438049,-0.2661849555074867,0.8552325940989525,-0.0864795474644129,-0.036675879490830905,0.0825697526771874,0.551754409551426,-0.22180247151332613,0.871454374518487,-0.09704288419686267,-0.05567157378646793,0.18533736642226853
worker 1,2026-07-27 13:06:50.464,0.5649159176438049,-0.2661849555074867,0.8552325940989525,-0.06072017620708666,-0.007761651710915013,0.07431625387554376,0.5590697828325918,-0.23433286474566173,0.871454374518487,-0.06389665351105026,-0.048348221992229656,0.1619432025253915
