Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,AccX_smooth,AccY_smooth,AccZ_smooth,GyroX_smooth,GyroY_smooth,GyroZ_smooth
2026-07-21 03:20:21.508,0.29,0.11,0.99,-4.7,4.82,2.56,0.29,0.11,0.99,-4.7,4.82,2.56
2026-07-21 03:20:21.509,0.57,-0.83,0.03,129.58,1.59,-57.5,0.42999999999999994,-0.36,0.51,62.440000000000005,3.205,-27.47
2026-07-21 03:20:21.556,0.69,-0.78,0.28,184.14,16.6,-34.48,0.5166666666666666,-0.5,0.43333333333333335,103.00666666666666,7.670000000000001,-29.80666666666666
2026-07-21 03:20:21.614,0.67,-0.52,0.48,203.37,99.98,-78.55,0.5549999999999999,-0.505,0.445,128.0975,30.747500000000002,-41.9925
2026-07-21 03:20:21.616,0.61,-0.4,0.58,166.99,137.7,-85.33,0.5660000000000001,-0.484,0.472,135.876,52.138,-50.660000000000004
2026-07-21 03:20:21.676,0.61,-0.4,0.58,166.99,137.7,-85.33,0.63,-0.586,0.39,170.214,78.714,-68.238
2026-07-21 03:20:21.736,0.51,-0.28,0.77,77.45,94.3,-53.53,0.618,-0.476,0.538,159.788,97.256,-67.444
2026-07-21 03:20:21.807,0.52,-0.28,0.85,26.79,16.97,-26.25,0.584,-0.376,0.652,128.318,97.33,-65.798
2026-07-21 03:20:21.855,0.51,-0.26,0.86,20.26,15.01,-14.59,0.552,-0.324,0.728,91.696,80.33599999999998,-53.00599999999999
2026-07-21 03:20:21.856,0.51,-0.26,0.86,20.26,15.01,-14.59,0.532,-0.29600000000000004,0.784,62.35,55.798,-38.858000000000004
2026-07-21 03:20:21.915,0.49,-0.26,0.87,18.86,14.34,-9.28,0.508,-0.268,0.842,32.724,31.125999999999998,-23.648
2026-07-21 03:20:21.917,0.49,-0.23,0.87,37.9,-7.51,-7.26,0.5040000000000001,-0.258,0.8619999999999999,24.813999999999993,10.764,-14.394
2026-07-21 03:20:21.978,0.52,-0.18,0.86,37.9,-7.51,-7.26,0.5040000000000001,-0.238,0.8640000000000001,27.035999999999994,5.868,-10.596
2026-07-21 03:20:22.036,0.54,-0.17,0.83,33.57,-12.15,-0.24,0.51,-0.22000000000000003,0.858,29.697999999999997,0.43599999999999994,-7.726000000000001
2026-07-21 03:20:22.037,0.55,-0.17,0.82,23.13,-7.14,3.66,0.518,-0.202,0.85,30.27199999999999,-3.9939999999999998,-4.076
2026-07-21 03:20:22.038,0.55,-0.17,0.82,23.13,-7.14,3.66,0.53,-0.184,0.8400000000000001,31.125999999999994,-8.290000000000001,-1.488
2026-07-21 03:20:22.154,0.55,-0.15,0.81,18.19,-2.5,1.59,0.542,-0.168,0.828,27.18399999999999,-7.287999999999999,0.2820000000000001
2026-07-21 03:20:22.156,0.55,-0.15,0.81,18.19,-2.5,1.59,0.548,-0.162,0.818,23.241999999999997,-6.286,2.052
2026-07-21 03:20:22.157,0.51,-0.16,0.85,-5.31,12.27,0.24,0.542,-0.16,0.8219999999999998,15.465999999999998,-1.4020000000000004,2.148
2026-07-21 03:20:22.225,0.49,-0.17,0.88,-9.03,15.08,1.28,0.53,-0.16,0.834,9.033999999999995,3.0420000000000003,1.672
2026-07-21 03:20:22.276,0.49,-0.17,0.87,-1.83,5.74,-0.06,0.518,-0.16,0.8440000000000001,4.0419999999999945,5.618,0.9279999999999999
2026-07-21 03:20:22.343,0.51,-0.15,0.86,3.85,2.56,-2.26,0.51,-0.16,0.8540000000000001,1.1739999999999946,6.63,0.15800000000000008
2026-07-21 03:20:22.397,0.5,-0.15,0.85,-0.24,9.09,-3.54,0.5,-0.16,0.8620000000000001,-2.512000000000006,8.948,-0.868
2026-07-21 03:20:22.457,0.48,-0.16,0.87,-4.52,6.41,-4.03,0.49399999999999994,-0.16,0.866,-2.3540000000000054,7.775999999999999,-1.722
2026-07-21 03:20:22.458,0.48,-0.16,0.87,-4.52,6.41,-4.03,0.492,-0.158,0.8640000000000001,-1.4520000000000057,6.042,-2.784
2026-07-21 03:20:22.516,0.49,-0.16,0.86,-0.73,-1.46,-3.05,0.492,-0.156,0.8619999999999999,-1.2320000000000058,4.602,-3.382
