Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
2026-07-22 23:49:40.130,0.19,-0.56,0.5,219.54,-106.81,-167.05
2026-07-22 23:49:40.173,0.13,-0.54,0.42,159.18,-141.54,129.82
2026-07-22 23:49:40.181,0.13,-0.54,0.42,159.18,-141.54,129.82
2026-07-22 23:49:40.211,0.1,-0.39,0.26,178.04,-151.18,192.69
2026-07-22 23:49:40.242,0.19,-0.25,0.3,219.24,-103.27,70.68
2026-07-22 23:49:40.257,0.19,-0.25,0.3,219.24,-103.27,70.68
2026-07-22 23:49:40.277,0.43,-0.54,0.64,136.96,-68.42,-85.51
2026-07-22 23:49:40.317,0.43,-0.54,0.64,136.96,-68.42,-85.51
2026-07-22 23:49:40.326,0.69,-1.15,0.92,-85.82,-58.72,-175.6
2026-07-22 23:49:40.399,0.55,-1.5,1.06,-164.67,45.9,-129.21
2026-07-22 23:49:40.399,0.55,-1.5,1.06,-164.67,45.9,-129.21
2026-07-22 23:49:40.414,0.17,-1.26,1.42,33.14,153.69,-30.21
2026-07-22 23:49:40.430,0.17,-1.26,1.42,33.14,153.69,-30.21
2026-07-22 23:49:40.451,0.04,-0.88,1.67,167.18,109.56,8.18
2026-07-22 23:49:40.480,0.03,-0.98,1.69,52.12,30.7,35.52
2026-07-22 23:49:40.496,0.03,-0.98,1.69,52.12,30.7,35.52
2026-07-22 23:49:40.548,-0.01,-1.25,1.83,-57.98,30.58,106.69
2026-07-22 23:49:40.548,-0.01,-1.25,1.83,-57.98,30.58,106.69
2026-07-22 23:49:40.574,0.24,-1.07,2.0,-3.97,70.86,228.27
2026-07-22 23:49:40.620,0.77,-0.39,1.92,60.3,133.79,349.3
2026-07-22 23:49:40.620,0.77,-0.39,1.92,60.3,133.79,349.3
2026-07-22 23:49:40.646,1.09,0.35,1.46,33.87,242.55,391.24
2026-07-22 23:49:40.653,1.09,0.35,1.46,33.87,242.55,391.24
2026-07-22 23:49:40.693,1.0,0.78,0.82,1.65,343.14,323.97
2026-07-22 23:49:40.719,1.0,0.78,0.82,1.65,343.14,323.97
2026-07-22 23:49:40.721,1.0,0.78,0.82,1.65,343.14,323.97
2026-07-22 23:49:40.746,1.0,0.78,0.82,1.65,343.14,323.97
2026-07-22 23:49:40.760,0.37,0.67,-0.13,31.56,386.41,1.46
2026-07-22 23:49:40.805,0.15,0.31,-0.3,24.41,341.8,-150.39
2026-07-22 23:49:40.826,0.15,0.31,-0.3,24.41,341.8,-150.39
2026-07-22 23:49:40.843,0.02,-0.14,-0.34,32.59,251.83,-232.54
2026-07-22 23:49:40.872,0.02,-0.14,-0.34,32.59,251.83,-232.54
2026-07-22 23:49:40.895,-0.07,-0.63,-0.41,117.74,133.54,-241.88
2026-07-22 23:49:40.919,-0.17,-1.03,-0.54,206.97,21.79,-218.87
2026-07-22 23:49:40.947,-0.17,-1.03,-0.54,206.97,21.79,-218.87
2026-07-22 23:49:40.976,-0.24,-1.21,-0.58,190.25,-59.14,-191.89
2026-07-22 23:49:40.993,-0.24,-1.21,-0.58,190.25,-59.14,-191.89
2026-07-22 23:49:41.020,-0.23,-1.14,-0.42,99.61,-102.05,-154.11
2026-07-22 23:49:41.036,-0.2,-1.05,-0.04,18.13,-123.54,-114.56
2026-07-22 23:49:41.062,-0.2,-1.05,-0.04,18.13,-123.54,-114.56
2026-07-22 23:49:41.095,-0.19,-1.06,0.33,-24.6,-137.27,-88.93
2026-07-22 23:49:41.110,-0.19,-1.06,0.33,-24.6,-137.27,-88.93
2026-07-22 23:49:41.141,-0.15,-1.11,0.46,-18.31,-142.58,-74.89
2026-07-22 23:49:41.156,-0.11,-1.21,0.44,41.38,-153.38,-69.15
2026-07-22 23:49:41.186,-0.11,-1.21,0.44,41.38,-153.38,-69.15
2026-07-22 23:49:41.224,-0.04,-1.26,0.44,101.26,-170.35,-56.34
2026-07-22 23:49:41.236,-0.04,-1.26,0.44,101.26,-170.35,-56.34
2026-07-22 23:49:41.262,0.01,-1.31,0.47,97.41,-164.25,-27.59
2026-07-22 23:49:41.277,0.02,-1.38,0.46,25.82,-127.14,2.08
2026-07-22 23:49:41.308,0.02,-1.38,0.46,25.82,-127.14,2.08
2026-07-22 23:49:41.352,0.03,-1.34,0.47,-36.07,-104.31,19.17
2026-07-22 23:49:41.397,0.03,-1.34,0.47,-36.07,-104.31,19.17
2026-07-22 23:49:41.413,0.04,-1.25,0.47,-45.84,-108.15,22.89
2026-07-22 23:49:41.413,0.04,-1.25,0.47,-29.79,-120.24,14.47
2026-07-22 23:49:41.413,0.08,-1.19,0.47,-29.79,-120.24,14.47
2026-07-22 23:49:41.469,0.17,-1.17,0.5,-14.77,-124.76,3.72
2026-07-22 23:49:41.469,0.17,-1.17,0.5,-14.77,-124.76,3.72
2026-07-22 23:49:41.531,0.23,-1.24,0.5,-49.32,-94.48,-1.4
2026-07-22 23:49:41.533,0.23,-1.24,0.5,-49.32,-94.48,-1.4
2026-07-22 23:49:41.533,0.26,-1.36,0.45,-105.96,-60.12,-6.1
2026-07-22 23:49:41.586,0.29,-1.42,0.43,-117.61,-70.98,-1.95
2026-07-22 23:49:41.586,0.29,-1.42,0.43,-117.61,-70.98,-1.95
2026-07-22 23:49:41.660,0.3,-1.4,0.47,-83.25,-113.04,19.41
2026-07-22 23:49:41.660,0.3,-1.4,0.47,-83.25,-113.04,19.41
2026-07-22 23:49:41.660,0.3,-1.29,0.51,-41.63,-135.01,52.43
2026-07-22 23:49:41.711,0.26,-1.11,0.54,-20.81,-121.22,84.96
2026-07-22 23:49:41.711,0.26,-1.11,0.54,-20.81,-121.22,84.96
2026-07-22 23:49:41.770,0.17,-0.98,0.56,-11.84,-97.72,99.67
2026-07-22 23:49:41.770,0.17,-0.98,0.56,-11.84,-97.72,99.67
2026-07-22 23:49:41.770,0.08,-0.93,0.56,-2.99,-80.02,97.47
2026-07-22 23:49:41.841,0.08,-0.93,0.56,-2.99,-80.02,97.47
2026-07-22 23:49:41.841,0.01,-0.86,0.51,-9.89,-56.34,95.4
2026-07-22 23:49:41.891,-0.07,-0.79,0.43,-35.89,-22.64,91.67
2026-07-22 23:49:41.892,-0.07,-0.79,0.43,-35.89,-22.64,91.67
2026-07-22 23:49:41.892,-0.15,-0.77,0.35,-42.36,1.83,82.09
2026-07-22 23:49:41.957,-0.15,-0.77,0.35,-42.36,1.83,82.09
2026-07-22 23:49:41.957,-0.22,-0.79,0.26,-16.3,15.08,77.58
2026-07-22 23:49:41.957,-0.22,-0.79,0.26,-16.3,15.08,77.58
2026-07-22 23:49:42.014,-0.27,-0.77,0.17,6.9,24.66,75.44
2026-07-22 23:49:42.014,-0.32,-0.74,0.12,10.56,26.49,66.65
2026-07-22 23:49:42.062,-0.32,-0.74,0.12,10.56,26.49,66.65
2026-07-22 23:49:42.062,-0.35,-0.72,0.12,3.78,26.12,58.17
2026-07-22 23:49:42.062,-0.35,-0.72,0.12,3.78,26.12,58.17
2026-07-22 23:49:42.133,-0.38,-0.7,0.14,3.54,27.28,54.99
2026-07-22 23:49:42.134,-0.38,-0.7,0.14,18.13,31.19,53.04
2026-07-22 23:49:42.195,-0.41,-0.68,0.15,18.13,31.19,53.04
2026-07-22 23:49:42.195,-0.45,-0.65,0.08,30.58,45.59,49.5
2026-07-22 23:49:42.195,-0.45,-0.65,0.08,30.58,45.59,49.5
2026-07-22 23:49:42.258,-0.49,-0.63,-0.01,26.73,63.23,44.43
2026-07-22 23:49:42.258,-0.49,-0.63,-0.01,26.73,63.23,44.43
2026-07-22 23:49:42.311,-0.52,-0.64,-0.05,16.05,69.7,36.38
2026-07-22 23:49:42.313,-0.55,-0.69,-0.08,11.35,64.64,25.02
2026-07-22 23:49:42.313,-0.55,-0.69,-0.08,11.35,64.64,25.02
2026-07-22 23:49:42.363,-0.58,-0.72,-0.09,12.02,54.75,16.36
2026-07-22 23:49:42.363,-0.58,-0.72,-0.09,12.02,54.75,16.36
2026-07-22 23:49:42.427,-0.59,-0.73,-0.04,11.66,43.7,12.7
2026-07-22 23:49:42.427,-0.59,-0.73,-0.04,11.66,43.7,12.7
2026-07-22 23:49:42.427,-0.58,-0.78,-0.0,9.83,39.0,8.73
2026-07-22 23:49:42.493,-0.57,-0.84,-0.0,11.35,43.64,7.39
2026-07-22 23:49:42.493,-0.57,-0.84,-0.0,11.35,43.64,7.39
2026-07-22 23:49:42.493,-0.57,-0.83,-0.05,18.31,51.15,15.08
2026-07-22 23:49:42.546,-0.57,-0.83,-0.05,18.31,51.15,15.08
2026-07-22 23:49:42.546,-0.57,-0.75,-0.13,26.18,56.21,26.37
2026-07-22 23:49:42.611,-0.57,-0.75,-0.13,26.18,56.21,26.37
2026-07-22 23:49:42.611,-0.58,-0.7,-0.19,23.56,54.14,26.67
2026-07-22 23:49:42.611,-0.57,-0.73,-0.22,9.46,46.75,15.44
2026-07-22 23:49:42.670,-0.57,-0.73,-0.22,9.46,46.75,15.44
2026-07-22 23:49:42.670,-0.55,-0.78,-0.25,-1.83,41.02,7.93
2026-07-22 23:49:42.670,-0.55,-0.78,-0.25,-1.83,41.02,7.93
2026-07-22 23:49:42.738,-0.53,-0.78,-0.3,-5.31,41.08,11.54
2026-07-22 23:49:42.781,-0.53,-0.78,-0.3,-5.31,41.08,11.54
