Sample,Timestamp,Elapsed_s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
0,2026-08-03 13:20:26.620,0.0,-0.33,-0.13,0.86,1.65,-4.82,2.62
1,2026-08-03 13:20:26.621,0.001,0.03,0.97,1.28,47.06,-2.26,77.7
2,2026-08-03 13:20:26.621,0.001,-0.39,0.84,1.24,-57.62,2.62,-25.82
3,2026-08-03 13:20:26.622,0.002,-0.39,0.84,1.24,-57.62,2.62,-25.82
4,2026-08-03 13:20:26.623,0.003,-0.31,0.37,1.04,-124.21,10.5,-103.15
5,2026-08-03 13:20:26.672,0.052,-0.31,0.37,1.04,-124.21,10.5,-103.15
6,2026-08-03 13:20:26.673,0.053,0.01,-0.0,0.92,-122.07,18.31,-111.33
7,2026-08-03 13:20:26.673,0.053,0.29,-0.13,0.88,-81.36,24.41,-71.04
8,2026-08-03 13:20:26.674,0.054,0.29,-0.13,0.88,-81.36,24.41,-71.04
9,2026-08-03 13:20:26.732,0.112,0.42,-0.1,0.87,-50.48,26.55,-21.3
10,2026-08-03 13:20:26.734,0.114,0.42,-0.1,0.87,-50.48,26.55,-21.3
11,2026-08-03 13:20:26.735,0.115,0.45,-0.05,0.9,-40.71,21.48,13.31
12,2026-08-03 13:20:26.852,0.232,0.45,-0.05,0.9,-40.71,21.48,13.31
13,2026-08-03 13:20:26.853,0.233,0.42,-0.06,0.93,-33.02,17.09,25.88
14,2026-08-03 13:20:26.854,0.234,0.42,-0.06,0.93,-15.69,19.41,21.36
15,2026-08-03 13:20:26.854,0.234,0.39,-0.06,0.91,-15.69,19.41,21.36
16,2026-08-03 13:20:26.855,0.235,0.36,-0.08,0.87,-8.0,16.05,11.23
17,2026-08-03 13:20:26.926,0.306,0.36,-0.08,0.87,-8.0,16.05,11.23
18,2026-08-03 13:20:26.927,0.307,0.35,-0.12,0.83,-15.81,2.44,1.22
19,2026-08-03 13:20:26.973,0.353,0.38,-0.15,0.83,-11.35,-12.7,-13.85
20,2026-08-03 13:20:27.032,0.412,0.42,-0.19,0.87,-2.38,-16.85,-23.44
21,2026-08-03 13:20:27.033,0.413,0.44,-0.21,0.87,-11.78,-7.02,-16.78
22,2026-08-03 13:20:27.039,0.419,0.44,-0.21,0.87,-11.78,-7.02,-16.78
23,2026-08-03 13:20:27.094,0.474,0.42,-0.21,0.85,-24.96,9.46,-2.26
24,2026-08-03 13:20:27.095,0.475,0.42,-0.21,0.85,-24.96,9.46,-2.26
25,2026-08-03 13:20:27.096,0.476,0.35,-0.22,0.82,-36.5,19.04,3.72
26,2026-08-03 13:20:27.162,0.542,0.35,-0.22,0.82,-36.5,19.04,3.72
27,2026-08-03 13:20:27.163,0.543,0.29,-0.2,0.8,-17.4,20.51,-23.07
28,2026-08-03 13:20:27.213,0.593,0.29,-0.2,0.8,-17.4,20.51,-23.07
29,2026-08-03 13:20:27.214,0.594,0.29,-0.14,0.87,53.28,39.12,-80.02
30,2026-08-03 13:20:27.214,0.594,0.3,-0.08,0.97,75.13,56.34,-118.35
31,2026-08-03 13:20:27.272,0.652,0.3,-0.08,0.97,75.13,56.34,-118.35
32,2026-08-03 13:20:27.273,0.653,0.28,-0.03,1.01,18.31,55.24,-113.77
33,2026-08-03 13:20:27.274,0.654,0.28,-0.03,1.01,18.31,55.24,-113.77
34,2026-08-03 13:20:27.334,0.714,0.25,0.02,0.97,-28.69,56.64,-87.1
35,2026-08-03 13:20:27.392,0.772,0.21,0.06,0.9,-37.29,58.84,-59.57
36,2026-08-03 13:20:27.393,0.773,0.22,0.05,0.86,-24.11,59.69,-57.13
37,2026-08-03 13:20:27.451,0.831,0.26,0.05,0.91,-22.89,80.75,-92.83
38,2026-08-03 13:20:27.512,0.892,0.26,0.09,1.01,-54.93,98.27,-117.13
39,2026-08-03 13:20:27.513,0.893,0.22,0.1,1.01,-52.8,80.14,-74.34
40,2026-08-03 13:20:27.572,0.952,0.2,0.07,0.96,0.85,47.36,-7.45
41,2026-08-03 13:20:27.574,0.954,0.2,0.07,0.96,0.85,47.36,-7.45
42,2026-08-03 13:20:27.574,0.954,0.22,0.02,0.9,21.73,7.93,19.35
43,2026-08-03 13:20:27.636,1.016,0.22,0.02,0.9,21.73,7.93,19.35
44,2026-08-03 13:20:27.637,1.017,0.22,-0.05,0.96,-4.46,-23.86,16.11
45,2026-08-03 13:20:27.691,1.071,0.22,-0.05,0.96,-4.46,-23.86,16.11
46,2026-08-03 13:20:27.692,1.072,0.28,-0.16,0.98,-32.35,-77.39,11.78
47,2026-08-03 13:20:27.692,1.072,0.28,-0.16,0.98,-34.91,-114.93,21.79
48,2026-08-03 13:20:27.751,1.131,0.31,-0.2,0.89,-34.91,-114.93,21.79
49,2026-08-03 13:20:27.751,1.131,-0.09,-0.14,0.85,19.53,-66.96,54.99
50,2026-08-03 13:20:27.752,1.132,-0.09,-0.14,0.85,19.53,-66.96,54.99
51,2026-08-03 13:20:27.812,1.192,-0.19,-0.09,0.71,98.82,-118.96,139.89
52,2026-08-03 13:20:27.875,1.255,0.34,-0.22,0.45,97.11,-311.28,249.69
53,2026-08-03 13:20:27.876,1.256,0.34,-0.22,0.45,5.49,-279.48,212.46
54,2026-08-03 13:20:27.876,1.256,0.54,-0.32,0.46,5.49,-279.48,212.46
55,2026-08-03 13:20:27.932,1.312,0.3,-0.39,0.9,-121.83,2.08,55.18
56,2026-08-03 13:20:27.992,1.372,0.11,-0.59,1.29,-164.31,188.54,-22.28
57,2026-08-03 13:20:27.992,1.372,0.06,-0.67,1.28,-69.34,183.04,-5.55
58,2026-08-03 13:20:28.052,1.432,0.04,-0.64,1.02,14.34,95.46,29.97
59,2026-08-03 13:20:28.053,1.433,0.04,-0.64,1.02,14.34,95.46,29.97
60,2026-08-03 13:20:28.113,1.493,0.04,-0.64,0.77,14.1,29.36,37.23
61,2026-08-03 13:20:28.114,1.494,0.04,-0.64,0.77,14.1,29.36,37.23
62,2026-08-03 13:20:28.114,1.494,0.09,-0.62,0.67,-1.4,30.52,11.17
63,2026-08-03 13:20:28.172,1.552,0.09,-0.62,0.67,-1.4,30.52,11.17
64,2026-08-03 13:20:28.172,1.552,0.13,-0.54,0.72,1.04,74.28,-16.17
65,2026-08-03 13:20:28.232,1.612,0.15,-0.47,0.75,8.42,95.09,-21.85
66,2026-08-03 13:20:28.232,1.612,0.19,-0.42,0.76,19.59,72.57,-11.11
67,2026-08-03 13:20:28.233,1.613,0.19,-0.42,0.76,19.59,72.57,-11.11
68,2026-08-03 13:20:28.308,1.688,0.29,-0.42,0.79,30.88,22.95,10.56
69,2026-08-03 13:20:28.309,1.689,0.29,-0.42,0.79,30.88,22.95,10.56
70,2026-08-03 13:20:28.352,1.732,0.42,-0.42,0.88,44.07,-19.1,33.51
71,2026-08-03 13:20:28.353,1.733,0.42,-0.42,0.88,44.07,-19.1,33.51
72,2026-08-03 13:20:28.353,1.733,0.5,-0.36,1.05,89.36,-23.13,38.39
73,2026-08-03 13:20:28.412,1.792,0.5,-0.36,1.05,182.01,-3.97,33.26
74,2026-08-03 13:20:28.412,1.792,0.43,-0.17,1.19,182.01,-3.97,33.26
75,2026-08-03 13:20:28.471,1.851,0.27,0.11,1.24,264.28,11.54,45.41
76,2026-08-03 13:20:28.471,1.851,0.1,0.38,1.29,248.72,21.97,76.97
77,2026-08-03 13:20:28.531,1.911,0.1,0.38,1.29,248.72,21.97,76.97
78,2026-08-03 13:20:28.532,1.912,0.0,0.57,1.28,132.81,36.5,106.2
79,2026-08-03 13:20:28.591,1.971,-0.03,0.51,1.11,-29.54,38.94,107.79
80,2026-08-03 13:20:28.592,1.972,-0.06,0.23,0.97,-192.44,7.81,77.51
81,2026-08-03 13:20:28.662,2.042,-0.06,0.23,0.97,-192.44,7.81,77.51
82,2026-08-03 13:20:28.667,2.047,-0.04,-0.08,1.03,-296.45,-24.41,43.88
83,2026-08-03 13:20:28.712,2.092,-0.02,-0.2,1.15,-281.62,-30.15,29.48
84,2026-08-03 13:20:28.712,2.092,-0.02,-0.13,1.1,-182.56,-22.46,-12.27
85,2026-08-03 13:20:28.772,2.152,-0.02,-0.13,1.1,-182.56,-22.46,-12.27
86,2026-08-03 13:20:28.772,2.152,-0.05,-0.14,0.81,-100.71,11.54,-109.99
87,2026-08-03 13:20:28.773,2.153,-0.05,-0.14,0.81,-100.71,11.54,-109.99
88,2026-08-03 13:20:28.891,2.271,-0.12,-0.19,0.43,-34.85,66.16,-168.46
89,2026-08-03 13:20:28.892,2.272,-0.12,-0.19,0.43,-34.85,66.16,-168.46
90,2026-08-03 13:20:28.892,2.272,-0.19,-0.21,0.2,43.58,86.0,-126.1
91,2026-08-03 13:20:28.892,2.272,-0.25,-0.2,0.23,92.16,75.62,-63.42
92,2026-08-03 13:20:28.893,2.273,-0.25,-0.2,0.23,92.16,75.62,-63.42
93,2026-08-03 13:20:28.951,2.331,-0.29,-0.2,0.44,96.98,59.63,-40.65
94,2026-08-03 13:20:28.952,2.332,-0.29,-0.2,0.44,96.98,59.63,-40.65
95,2026-08-03 13:20:28.952,2.332,-0.33,-0.17,0.76,99.18,20.51,-18.68
96,2026-08-03 13:20:29.015,2.395,-0.33,-0.17,0.76,99.18,20.51,-18.68
97,2026-08-03 13:20:29.015,2.395,-0.35,-0.05,1.14,109.56,-4.7,4.39
98,2026-08-03 13:20:29.071,2.451,-0.29,0.09,1.46,106.87,32.23,-26.43
99,2026-08-03 13:20:29.072,2.452,-0.29,0.09,1.46,106.87,32.23,-26.43
100,2026-08-03 13:20:29.072,2.452,-0.21,0.13,1.62,92.65,93.81,-94.73
101,2026-08-03 13:20:29.138,2.518,-0.21,0.13,1.62,92.65,93.81,-94.73
102,2026-08-03 13:20:29.138,2.518,-0.15,0.07,1.64,84.84,124.88,-148.07
103,2026-08-03 13:20:29.264,2.644,-0.12,0.05,1.44,79.65,108.4,-169.86
104,2026-08-03 13:20:29.264,2.644,-0.14,0.06,1.07,71.11,53.1,-156.37
105,2026-08-03 13:20:29.265,2.645,-0.2,0.06,0.77,62.99,-9.03,-122.74
106,2026-08-03 13:20:29.311,2.691,-0.24,0.1,0.73,47.91,-41.56,-100.46
107,2026-08-03 13:20:29.312,2.692,-0.24,0.1,0.73,47.91,-41.56,-100.46
108,2026-08-03 13:20:29.375,2.755,-0.19,0.18,0.86,23.32,-46.26,-100.4
109,2026-08-03 13:20:29.375,2.755,-0.06,0.23,0.87,12.94,-50.35,-104.68
110,2026-08-03 13:20:29.376,2.756,-0.06,0.23,0.87,12.94,-50.35,-104.68
111,2026-08-03 13:20:29.439,2.819,0.06,0.23,0.73,29.05,-63.29,-95.15
112,2026-08-03 13:20:29.441,2.821,0.06,0.23,0.73,29.05,-63.29,-95.15
113,2026-08-03 13:20:29.441,2.821,0.15,0.21,0.65,49.87,-65.92,-74.46
114,2026-08-03 13:20:29.492,2.872,0.15,0.21,0.65,49.87,-65.92,-74.46
115,2026-08-03 13:20:29.493,2.873,0.18,0.25,0.7,61.04,-45.41,-56.34
116,2026-08-03 13:20:29.613,2.993,0.15,0.37,0.86,67.08,-14.1,-39.73
117,2026-08-03 13:20:29.614,2.994,0.08,0.48,1.07,60.0,12.82,-6.41
118,2026-08-03 13:20:29.615,2.995,-0.01,0.5,1.26,32.59,25.94,51.82
119,2026-08-03 13:20:29.671,3.051,-0.11,0.4,1.36,8.42,24.72,115.78
120,2026-08-03 13:20:29.672,3.052,-0.11,0.4,1.36,8.42,24.72,115.78
121,2026-08-03 13:20:29.735,3.115,-0.19,0.26,1.36,-1.1,15.81,155.88
122,2026-08-03 13:20:29.736,3.116,-0.24,0.18,1.27,-11.6,6.59,155.4
123,2026-08-03 13:20:29.798,3.178,-0.25,0.21,1.1,-25.02,-8.12,122.8
124,2026-08-03 13:20:29.799,3.179,-0.24,0.26,0.99,-35.22,-24.84,80.69
125,2026-08-03 13:20:29.852,3.232,-0.24,0.26,0.99,-35.22,-24.84,80.69
126,2026-08-03 13:20:29.852,3.232,-0.22,0.31,1.07,-47.79,-29.85,35.52
127,2026-08-03 13:20:29.915,3.295,-0.19,0.38,1.14,-54.2,-33.39,-12.21
128,2026-08-03 13:20:29.915,3.295,-0.16,0.36,0.99,-39.67,-51.51,-41.44
129,2026-08-03 13:20:29.971,3.351,-0.16,0.36,0.99,-39.67,-51.51,-41.44
130,2026-08-03 13:20:29.971,3.351,-0.14,0.28,0.72,-15.81,-69.03,-46.94
131,2026-08-03 13:20:30.031,3.411,-0.15,0.21,0.56,-6.04,-60.73,-46.51
132,2026-08-03 13:20:30.032,3.412,-0.15,0.21,0.56,-11.84,-32.59,-44.74
133,2026-08-03 13:20:30.092,3.472,-0.15,0.19,0.56,-11.84,-32.59,-44.74
134,2026-08-03 13:20:30.093,3.473,-0.15,0.21,0.63,-13.98,-2.44,-43.03
135,2026-08-03 13:20:30.151,3.531,-0.15,0.25,0.72,-3.11,19.53,-48.28
136,2026-08-03 13:20:30.168,3.548,-0.15,0.25,0.72,-3.11,19.53,-48.28
137,2026-08-03 13:20:30.217,3.597,-0.16,0.3,0.8,14.47,24.72,-56.15
138,2026-08-03 13:20:30.218,3.598,-0.15,0.36,0.94,32.84,22.89,-64.03
139,2026-08-03 13:20:30.271,3.651,-0.11,0.42,1.05,48.22,26.73,-76.84
140,2026-08-03 13:20:30.272,3.652,-0.11,0.42,1.05,48.22,26.73,-76.84
141,2026-08-03 13:20:30.272,3.652,-0.09,0.47,1.12,55.85,34.79,-92.22
142,2026-08-03 13:20:30.392,3.772,-0.09,0.47,1.12,55.85,34.79,-92.22
143,2026-08-03 13:20:30.451,3.831,-0.12,0.47,1.23,43.33,45.53,-108.28
144,2026-08-03 13:20:30.453,3.833,-0.12,0.47,1.23,43.33,45.53,-108.28
145,2026-08-03 13:20:30.463,3.843,-0.16,0.41,1.3,12.45,42.79,-125.0
146,2026-08-03 13:20:30.463,3.843,-0.16,0.41,1.3,-12.27,3.42,-134.03
147,2026-08-03 13:20:30.464,3.844,-0.2,0.31,1.16,-12.27,3.42,-134.03
148,2026-08-03 13:20:30.464,3.844,-0.23,0.2,0.9,-17.82,-56.88,-134.09
149,2026-08-03 13:20:30.465,3.845,-0.23,0.2,0.9,-17.82,-56.88,-134.09
150,2026-08-03 13:20:30.511,3.891,-0.22,0.13,0.69,-13.49,-94.91,-138.67
151,2026-08-03 13:20:30.512,3.892,-0.22,0.13,0.69,-13.49,-94.91,-138.67
152,2026-08-03 13:20:30.571,3.951,-0.13,0.15,0.65,-5.19,-95.7,-153.56
153,2026-08-03 13:20:30.572,3.952,-0.01,0.23,0.7,9.22,-81.05,-170.17
154,2026-08-03 13:20:30.632,4.012,0.07,0.31,0.74,27.4,-72.27,-178.16
155,2026-08-03 13:20:30.692,4.072,0.11,0.35,0.76,39.12,-71.11,-170.96
156,2026-08-03 13:20:30.695,4.075,0.11,0.35,0.76,39.12,-71.11,-170.96
157,2026-08-03 13:20:30.695,4.075,0.13,0.35,0.75,41.32,-67.26,-148.44
158,2026-08-03 13:20:30.752,4.132,0.13,0.33,0.78,46.69,-51.57,-117.92
159,2026-08-03 13:20:30.812,4.192,0.11,0.38,0.91,54.63,-26.37,-89.17
160,2026-08-03 13:20:30.813,4.193,0.07,0.55,1.16,54.57,-9.64,-68.48
161,2026-08-03 13:20:30.871,4.251,0.07,0.55,1.16,54.57,-9.64,-68.48
162,2026-08-03 13:20:30.872,4.252,0.03,0.72,1.4,42.72,-14.47,-46.26
163,2026-08-03 13:20:30.872,4.252,-0.02,0.72,1.49,20.45,-25.82,-6.53
164,2026-08-03 13:20:30.931,4.311,-0.02,0.72,1.49,20.45,-25.82,-6.53
165,2026-08-03 13:20:30.932,4.312,-0.09,0.52,1.33,-14.59,-39.73,41.56
166,2026-08-03 13:20:30.998,4.378,-0.09,0.52,1.33,-14.59,-39.73,41.56
167,2026-08-03 13:20:30.999,4.379,-0.23,0.34,0.98,-40.95,-67.5,68.12
168,2026-08-03 13:20:31.171,4.551,-0.34,0.33,0.71,-37.72,-96.86,68.91
169,2026-08-03 13:20:31.172,4.552,-0.34,0.33,0.71,-33.14,-107.79,82.64
170,2026-08-03 13:20:31.172,4.552,-0.23,0.42,0.64,-33.14,-107.79,82.64
171,2026-08-03 13:20:31.172,4.552,0.03,0.41,0.69,-38.57,-93.44,117.98
172,2026-08-03 13:20:31.173,4.553,0.03,0.41,0.69,-38.57,-93.44,117.98
173,2026-08-03 13:20:31.173,4.553,0.2,0.28,0.75,-39.61,-58.78,123.6
174,2026-08-03 13:20:31.174,4.554,0.21,0.11,0.79,-41.93,-18.8,75.2
175,2026-08-03 13:20:31.231,4.611,0.21,0.11,0.79,-51.27,13.24,-10.62
176,2026-08-03 13:20:31.232,4.612,0.12,0.03,0.81,-51.27,13.24,-10.62
177,2026-08-03 13:20:31.298,4.678,-0.06,0.07,0.85,-63.29,41.2,-115.84
178,2026-08-03 13:20:31.299,4.679,-0.25,0.23,0.98,-70.8,73.0,-209.41
179,2026-08-03 13:20:31.351,4.731,-0.25,0.23,0.98,-70.8,73.0,-209.41
180,2026-08-03 13:20:31.352,4.732,-0.32,0.48,1.1,-58.47,91.43,-268.55
181,2026-08-03 13:20:31.352,4.732,-0.32,0.48,1.1,-32.1,79.28,-304.14
182,2026-08-03 13:20:31.412,4.792,-0.24,0.76,1.14,-32.1,79.28,-304.14
183,2026-08-03 13:20:31.412,4.792,-0.11,0.93,1.16,-23.13,52.19,-314.27
184,2026-08-03 13:20:31.471,4.851,-0.11,0.93,1.16,-23.13,52.19,-314.27
185,2026-08-03 13:20:31.472,4.852,0.01,0.9,1.13,-30.15,34.18,-287.35
186,2026-08-03 13:20:31.712,5.092,0.08,0.74,1.12,-28.2,32.29,-242.49
187,2026-08-03 13:20:31.712,5.092,0.08,0.74,1.12,-13.55,34.0,-204.9
188,2026-08-03 13:20:31.713,5.093,0.12,0.58,1.14,-13.55,34.0,-204.9
189,2026-08-03 13:20:31.713,5.093,0.17,0.47,1.13,0.79,24.9,-180.24
190,2026-08-03 13:20:31.714,5.094,0.17,0.47,1.13,0.79,24.9,-180.24
191,2026-08-03 13:20:31.714,5.094,0.19,0.36,1.03,8.48,5.62,-154.42
192,2026-08-03 13:20:31.714,5.094,0.17,0.22,0.88,13.43,-10.38,-115.78
193,2026-08-03 13:20:31.718,5.098,0.17,0.22,0.88,13.43,-10.38,-115.78
194,2026-08-03 13:20:31.719,5.099,0.1,0.04,0.81,15.32,-9.7,-59.2
195,2026-08-03 13:20:31.719,5.099,0.02,-0.17,0.81,13.61,3.05,6.04
196,2026-08-03 13:20:31.771,5.151,0.02,-0.17,0.81,13.61,3.05,6.04
197,2026-08-03 13:20:31.772,5.152,-0.01,-0.29,0.87,14.16,15.2,46.51
198,2026-08-03 13:20:31.833,5.213,-0.01,-0.29,0.87,14.16,15.2,46.51
199,2026-08-03 13:20:31.833,5.213,0.01,-0.27,0.96,10.56,23.44,53.65
200,2026-08-03 13:20:31.835,5.215,0.01,-0.27,0.96,10.56,23.44,53.65
201,2026-08-03 13:20:31.894,5.274,0.0,-0.18,1.0,-2.08,22.22,55.42
202,2026-08-03 13:20:31.895,5.275,-0.07,-0.07,0.99,-14.47,10.31,67.44
203,2026-08-03 13:20:31.967,5.347,-0.17,0.03,1.01,-25.51,1.83,86.73
204,2026-08-03 13:20:31.968,5.348,-0.17,0.03,1.01,-25.51,1.83,86.73
205,2026-08-03 13:20:32.011,5.391,-0.24,0.08,1.1,-40.71,5.43,106.51
206,2026-08-03 13:20:32.071,5.451,-0.24,0.08,1.1,-40.71,5.43,106.51
207,2026-08-03 13:20:32.071,5.451,-0.26,0.07,1.12,-55.42,7.57,116.7
208,2026-08-03 13:20:32.072,5.452,-0.29,0.06,0.96,-56.7,-9.09,108.89
209,2026-08-03 13:20:32.072,5.452,-0.29,0.06,0.96,-47.36,-30.82,86.67
210,2026-08-03 13:20:32.133,5.513,-0.35,0.08,0.8,-47.36,-30.82,86.67
211,2026-08-03 13:20:32.133,5.513,-0.35,0.14,0.86,-42.79,-28.32,56.58
212,2026-08-03 13:20:32.311,5.691,-0.35,0.14,0.86,-42.79,-28.32,56.58
213,2026-08-03 13:20:32.312,5.692,-0.24,0.23,1.07,-38.33,-5.62,18.55
214,2026-08-03 13:20:32.313,5.693,-0.24,0.23,1.07,-38.33,-5.62,18.55
215,2026-08-03 13:20:32.313,5.693,-0.12,0.29,1.15,-23.8,3.85,-14.53
216,2026-08-03 13:20:32.314,5.694,-0.12,0.29,1.15,-23.8,3.85,-14.53
217,2026-08-03 13:20:32.314,5.694,-0.12,0.28,1.0,-6.77,-15.75,-21.06
218,2026-08-03 13:20:32.314,5.694,-0.22,0.18,0.8,1.34,-40.28,-3.66
219,2026-08-03 13:20:32.380,5.76,-0.3,0.07,0.76,0.92,-39.43,12.45
220,2026-08-03 13:20:32.432,5.812,-0.3,0.07,0.76,0.92,-39.43,12.45
221,2026-08-03 13:20:32.432,5.812,-0.31,0.01,0.86,0.73,-16.66,9.03
222,2026-08-03 13:20:32.491,5.871,-0.31,0.01,0.86,0.73,-16.66,9.03
223,2026-08-03 13:20:32.492,5.872,-0.24,0.01,0.94,8.91,1.95,-12.15
224,2026-08-03 13:20:32.492,5.872,-0.16,0.04,0.93,24.48,5.98,-35.22
225,2026-08-03 13:20:32.493,5.873,-0.1,0.08,0.92,33.26,8.3,-44.86
226,2026-08-03 13:20:32.611,5.991,-0.1,0.08,0.92,33.26,8.3,-44.86
227,2026-08-03 13:20:32.612,5.992,-0.05,0.1,0.97,30.15,16.42,-43.27
228,2026-08-03 13:20:32.612,5.992,-0.0,0.1,1.08,23.99,23.74,-41.87
229,2026-08-03 13:20:32.613,5.993,-0.0,0.1,1.08,19.71,22.46,-43.82
230,2026-08-03 13:20:32.731,6.111,0.05,0.08,1.14,19.71,22.46,-43.82
231,2026-08-03 13:20:32.732,6.112,0.1,0.05,1.09,20.2,9.28,-48.89
232,2026-08-03 13:20:32.733,6.113,0.14,0.05,0.99,23.13,-8.54,-55.6
233,2026-08-03 13:20:32.734,6.114,0.18,0.06,0.95,21.79,-20.63,-58.59
234,2026-08-03 13:20:32.791,6.171,0.18,0.06,0.95,21.79,-20.63,-58.59
235,2026-08-03 13:20:32.792,6.172,0.23,0.09,0.99,16.85,-24.6,-56.7
236,2026-08-03 13:20:32.851,6.231,0.27,0.13,1.06,14.89,-26.12,-51.64
237,2026-08-03 13:20:32.853,6.233,0.27,0.13,1.06,14.89,-26.12,-51.64
238,2026-08-03 13:20:32.853,6.233,0.25,0.16,1.06,18.62,-29.17,-39.43
239,2026-08-03 13:20:32.911,6.291,0.25,0.16,1.06,18.62,-29.17,-39.43
240,2026-08-03 13:20:32.912,6.292,0.2,0.18,1.01,18.19,-27.83,-14.16
241,2026-08-03 13:20:32.973,6.353,0.13,0.19,0.98,6.41,-18.43,18.13
242,2026-08-03 13:20:32.973,6.353,0.13,0.19,0.98,-8.97,-10.01,42.79
243,2026-08-03 13:20:33.031,6.411,0.06,0.2,0.96,-8.97,-10.01,42.79
244,2026-08-03 13:20:33.031,6.411,0.01,0.21,0.95,-20.08,-5.68,52.49
245,2026-08-03 13:20:33.032,6.412,0.01,0.21,0.95,-20.08,-5.68,52.49
246,2026-08-03 13:20:33.097,6.477,-0.01,0.18,0.96,-30.64,0.73,46.02
247,2026-08-03 13:20:33.102,6.482,-0.01,0.18,0.96,-30.64,0.73,46.02
248,2026-08-03 13:20:33.153,6.533,-0.02,0.13,0.99,-40.41,12.45,14.1
249,2026-08-03 13:20:33.154,6.534,-0.02,0.13,0.99,-40.41,12.45,14.1
250,2026-08-03 13:20:33.154,6.534,-0.08,0.13,1.02,-39.18,25.88,-43.76
251,2026-08-03 13:20:33.211,6.591,-0.21,0.15,1.02,-28.32,28.93,-92.9
252,2026-08-03 13:20:33.212,6.592,-0.21,0.15,1.02,-28.32,28.93,-92.9
253,2026-08-03 13:20:33.212,6.592,-0.32,0.14,0.96,-13.79,15.75,-101.5
254,2026-08-03 13:20:33.279,6.659,-0.32,0.14,0.96,-13.79,15.75,-101.5
255,2026-08-03 13:20:33.279,6.659,-0.32,0.14,0.82,8.12,1.34,-76.84
256,2026-08-03 13:20:33.331,6.711,-0.32,0.14,0.82,8.12,1.34,-76.84
257,2026-08-03 13:20:33.332,6.712,-0.2,0.2,0.69,39.31,3.78,-43.09
258,2026-08-03 13:20:33.332,6.712,-0.2,0.2,0.69,58.96,28.38,-16.91
259,2026-08-03 13:20:33.394,6.774,-0.06,0.27,0.74,58.96,28.38,-16.91
260,2026-08-03 13:20:33.396,6.776,0.03,0.29,0.95,38.33,55.54,-6.04
261,2026-08-03 13:20:33.397,6.777,0.03,0.29,0.95,38.33,55.54,-6.04
262,2026-08-03 13:20:33.451,6.831,0.07,0.25,1.17,-3.91,60.36,-6.16
263,2026-08-03 13:20:33.452,6.832,0.07,0.25,1.17,-3.91,60.36,-6.16
264,2026-08-03 13:20:33.514,6.894,0.06,0.19,1.26,-16.66,44.37,-9.83
265,2026-08-03 13:20:33.514,6.894,0.02,0.17,1.13,16.3,36.38,-11.47
266,2026-08-03 13:20:33.572,6.952,-0.04,0.22,0.92,57.31,42.36,-7.08
267,2026-08-03 13:20:33.577,6.957,-0.04,0.22,0.92,57.31,42.36,-7.08
268,2026-08-03 13:20:33.577,6.957,-0.1,0.31,0.89,55.11,36.44,-4.27
269,2026-08-03 13:20:33.696,7.076,-0.1,0.31,0.89,55.11,36.44,-4.27
270,2026-08-03 13:20:33.697,7.077,-0.15,0.38,1.03,13.37,19.84,-7.63
271,2026-08-03 13:20:33.698,7.078,-0.24,0.39,1.14,-15.56,5.98,-11.29
272,2026-08-03 13:20:33.701,7.081,-0.24,0.39,1.14,-15.56,5.98,-11.29
273,2026-08-03 13:20:33.753,7.133,-0.34,0.35,1.17,-0.79,0.37,-16.24
274,2026-08-03 13:20:33.757,7.137,-0.36,0.33,1.19,29.66,8.85,-25.09
275,2026-08-03 13:20:33.811,7.191,-0.38,0.22,1.2,23.93,18.07,-21.42
276,2026-08-03 13:20:33.812,7.192,-0.38,0.22,1.2,23.93,18.07,-21.42
277,2026-08-03 13:20:33.876,7.256,-0.41,0.01,1.08,0.85,10.38,1.83
278,2026-08-03 13:20:33.877,7.257,-0.41,0.01,1.08,0.85,10.38,1.83
279,2026-08-03 13:20:33.877,7.257,-0.39,-0.14,0.85,11.54,-2.32,30.09
280,2026-08-03 13:20:33.931,7.311,-0.39,-0.14,0.85,11.54,-2.32,30.09
281,2026-08-03 13:20:33.932,7.312,-0.32,-0.22,0.69,32.17,0.92,59.33
282,2026-08-03 13:20:33.932,7.312,-0.23,-0.3,0.69,19.1,18.98,85.45
283,2026-08-03 13:20:34.001,7.381,-0.23,-0.3,0.69,19.1,18.98,85.45
284,2026-08-03 13:20:34.001,7.381,-0.15,-0.3,0.77,-21.42,38.21,91.25
285,2026-08-03 13:20:34.053,7.433,-0.15,-0.3,0.77,-21.42,38.21,91.25
286,2026-08-03 13:20:34.053,7.433,-0.1,-0.15,0.92,-60.36,50.78,64.03
287,2026-08-03 13:20:34.176,7.556,-0.08,0.14,1.15,-79.41,53.34,20.14
288,2026-08-03 13:20:34.231,7.611,-0.08,0.14,1.15,-76.05,40.71,-4.88
289,2026-08-03 13:20:34.233,7.613,-0.06,0.38,1.28,-76.05,40.71,-4.88
290,2026-08-03 13:20:34.233,7.613,-0.09,0.47,1.16,-61.16,5.98,4.03
291,2026-08-03 13:20:34.298,7.678,-0.09,0.47,1.16,-61.16,5.98,4.03
292,2026-08-03 13:20:34.299,7.679,-0.09,0.41,0.96,-60.24,-44.01,36.32
293,2026-08-03 13:20:34.300,7.68,-0.04,0.28,0.83,-74.77,-77.03,68.18
