Sample,Timestamp,Elapsed_s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,source_file
-1.7308204292074318,2026-08-03 13:20:26.620,-1.6773969799132467,-0.5241248934621798,-0.8296427598003441,-0.009631907312825382,0.07287281928822202,-0.09956551832870984,-0.06266704346321639,imu_log_20260803_132017_clean.csv
-1.7298449789091828,2026-08-03 13:20:26.621,-1.6773630727529374,0.45241533211205415,2.042085099917535,1.0360438685321298,0.8832523345618482,-0.04754837015161604,0.7966966457161567,imu_log_20260803_132017_clean.csv
-1.7288695286109337,2026-08-03 13:20:26.621,-1.6773630727529374,-0.6868815977245523,1.7026990801326947,0.9364556994040387,-0.9848500142345221,0.05160931856096903,-0.38819052934842374,imu_log_20260803_132017_clean.csv
-1.7278940783126846,2026-08-03 13:20:26.622,-1.6773291655926281,-0.6868815977245523,1.7026990801326947,0.9364556994040387,-0.9848500142345221,0.05160931856096903,-0.38819052934842374,imu_log_20260803_132017_clean.csv
-1.7269186280144355,2026-08-03 13:20:26.623,-1.6772952584323189,-0.4698726587080557,0.47568808552596453,0.43851485376358407,-2.1732043838022554,0.2117246027935859,-1.2733076588668162,imu_log_20260803_132017_clean.csv
-1.7259431777161864,2026-08-03 13:20:26.672,-1.6756338075771662,-0.4698726587080557,0.47568808552596453,0.43851485376358407,-2.1732043838022554,0.2117246027935859,-1.2733076588668162,imu_log_20260803_132017_clean.csv
-1.7249677274179374,2026-08-03 13:20:26.673,-1.675599900416857,0.3981630973579301,-0.4902567400155038,0.1397503463793112,-2.1350142899311795,0.3704175431307353,-1.3669357219660074,imu_log_20260803_132017_clean.csv
-1.7239922771196885,2026-08-03 13:20:26.673,-1.675599900416857,1.1576943839156677,-0.8296427598003441,0.04016217725122014,-1.4085102144678603,0.4943646540214667,-0.905777450295297,imu_log_20260803_132017_clean.csv
-1.7230168268214394,2026-08-03 13:20:26.674,-1.6755659932565476,1.1576943839156677,-0.8296427598003441,0.04016217725122014,-1.4085102144678603,0.4943646540214667,-0.905777450295297,imu_log_20260803_132017_clean.csv
-1.7220413765231903,2026-08-03 13:20:26.732,-1.6735993779586116,1.5103339098174744,-0.7513229090807655,0.01526513496919738,-0.8574307290758855,0.5378477388257561,-0.3364547292007044,imu_log_20260803_132017_clean.csv
-1.7210659262249413,2026-08-03 13:20:26.734,-1.6735315636379933,1.5103339098174744,-0.7513229090807655,0.01526513496919738,-0.8574307290758855,0.5378477388257561,-0.3364547292007044,imu_log_20260803_132017_clean.csv
-1.7200904759266922,2026-08-03 13:20:26.735,-1.673497656477684,1.5917122619486606,-0.6207898245481347,0.08995626181526567,-0.683076889299992,0.4348294023969023,0.05969041308083659,imu_log_20260803_132017_clean.csv
-1.719115025628443,2026-08-03 13:20:26.852,-1.6695305187215028,1.5917122619486606,-0.6207898245481347,0.08995626181526567,-0.683076889299992,0.4348294023969023,0.05969041308083659,imu_log_20260803_132017_clean.csv
-1.718139575330194,2026-08-03 13:20:26.853,-1.6694966115611938,1.5103339098174744,-0.6468964414546609,0.16464738866133394,-0.5458423930997237,0.3456281209525891,0.2035662997748259,imu_log_20260803_132017_clean.csv
-1.7171641250319452,2026-08-03 13:20:26.854,-1.6694627044008843,1.5103339098174744,-0.6468964414546609,0.16464738866133394,-0.2365740160970384,0.3927686614880803,0.1518304996271066,imu_log_20260803_132017_clean.csv
-1.716188674733696,2026-08-03 13:20:26.854,-1.6694627044008843,1.428955557686288,-0.6468964414546609,0.11485330409728843,-0.2365740160970384,0.3927686614880803,0.1518304996271066,imu_log_20260803_132017_clean.csv
-1.715213224435447,2026-08-03 13:20:26.855,-1.669428797240575,1.3475772055551019,-0.6991096752677133,0.01526513496919738,-0.09933951989677009,0.3244961545056448,0.035882788234098496,imu_log_20260803_132017_clean.csv
-1.714237774137198,2026-08-03 13:20:26.926,-1.6670213888586192,1.3475772055551019,-0.6991096752677133,0.01526513496919738,-0.09933951989677009,0.3244961545056448,0.035882788234098496,imu_log_20260803_132017_clean.csv
-1.7132623238389488,2026-08-03 13:20:26.927,-1.6669874816983097,1.3204510881780398,-0.8035361428938179,-0.08432303415889367,-0.23871551668793986,0.04795186282976712,-0.07869140634082857,imu_log_20260803_132017_clean.csv
-1.7122868735406997,2026-08-03 13:20:26.973,-1.6654277523240846,1.401829440309226,-0.8818559936133965,-0.08432303415889367,-0.15912307805943574,-0.2596808025613267,-0.25118222674483964,imu_log_20260803_132017_clean.csv
-1.7113114232424507,2026-08-03 13:20:27.032,-1.6634272298658395,1.5103339098174744,-0.9862824612395011,0.01526513496919738,0.0009540911104481191,-0.34400547636403744,-0.36094911245648303,imu_log_20260803_132017_clean.csv
-1.7103359729442018,2026-08-03 13:20:27.033,-1.6633933227055304,1.5645861445715985,-1.0384956950525532,0.01526513496919738,-0.16679678851016594,-0.1442677550433998,-0.2847189290529851,imu_log_20260803_132017_clean.csv
-1.7093605226459527,2026-08-03 13:20:27.039,-1.663189879743675,1.5645861445715985,-1.0384956950525532,0.01526513496919738,-0.16679678851016594,-0.1442677550433998,-0.2847189290529851,imu_log_20260803_132017_clean.csv
-1.7083850723477036,2026-08-03 13:20:27.094,-1.6613249859266668,1.5103339098174744,-1.0384956950525532,-0.034528949594848146,-0.40200493674417587,0.1905926363466416,-0.11852339406517882,imu_log_20260803_132017_clean.csv
-1.7074096220494546,2026-08-03 13:20:27.095,-1.6612910787663573,1.5103339098174744,-1.0384956950525532,-0.034528949594848146,-0.40200493674417587,0.1905926363466416,-0.11852339406517882,imu_log_20260803_132017_clean.csv
-1.7064341717512055,2026-08-03 13:20:27.096,-1.6612571716060482,1.3204510881780398,-1.0646023119590795,-0.10922007644091643,-0.6079459102358659,0.38525055804060976,-0.05007647263080681,imu_log_20260803_132017_clean.csv
-1.7054587214529564,2026-08-03 13:20:27.162,-1.6590192990256383,1.3204510881780398,-1.0646023119590795,-0.10922007644091643,-0.6079459102358659,0.38525055804060976,-0.05007647263080681,imu_log_20260803_132017_clean.csv
-1.7044832711547073,2026-08-03 13:20:27.163,-1.658985391865329,1.1576943839156677,-1.0123890781460272,-0.15901416100496168,-0.2670903995173841,0.41511977984542536,-0.35671410226739986,imu_log_20260803_132017_clean.csv
-1.7035078208564585,2026-08-03 13:20:27.213,-1.6572900338498668,1.1576943839156677,-1.0123890781460272,-0.15901416100496168,-0.2670903995173841,0.41511977984542536,-0.35671410226739986,imu_log_20260803_132017_clean.csv
-1.7025323705582094,2026-08-03 13:20:27.214,-1.6572561266895578,1.1576943839156677,-0.8557493767068702,0.01526513496919738,0.9942534485235736,0.7932600640546893,-1.008562292181695,imu_log_20260803_132017_clean.csv
-1.7015569202599603,2026-08-03 13:20:27.214,-1.6572561266895578,1.1848205012927298,-0.6991096752677133,0.2642355577894247,1.3841850144502135,1.143156662339672,-1.4472864558237484,imu_log_20260803_132017_clean.csv
-1.7005814699617112,2026-08-03 13:20:27.272,-1.6552895113916217,1.1848205012927298,-0.6991096752677133,0.2642355577894247,1.3841850144502135,1.143156662339672,-1.4472864558237484,imu_log_20260803_132017_clean.csv
-1.6996060196634621,2026-08-03 13:20:27.273,-1.6552556042313127,1.1305682665386056,-0.5685765907350824,0.36382372691751574,0.37018448465837417,1.120805543982327,-1.3948638972669885,imu_log_20260803_132017_clean.csv
