Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
2026-08-03 12:38:13.174,0.14,-0.45,0.9,12.57,47.55,24.11
2026-08-03 12:38:13.175,0.18,-0.95,0.18,-27.04,10.5,11.11
2026-08-03 12:38:13.175,0.14,-0.96,0.2,18.92,8.06,35.46
2026-08-03 12:38:13.230,0.14,-0.96,0.2,18.92,8.06,35.46
2026-08-03 12:38:13.231,0.08,-0.94,0.24,73.61,12.63,51.51
2026-08-03 12:38:13.231,0.08,-0.94,0.24,73.61,12.63,51.51
2026-08-03 12:38:13.291,0.03,-0.89,0.33,113.77,15.56,48.58
2026-08-03 12:38:13.291,0.03,-0.89,0.33,113.77,15.56,48.58
2026-08-03 12:38:13.292,-0.0,-0.85,0.43,141.66,16.17,34.0
2026-08-03 12:38:13.369,-0.0,-0.85,0.43,152.65,15.5,24.41
2026-08-03 12:38:13.372,-0.02,-0.81,0.53,152.65,15.5,24.41
2026-08-03 12:38:13.411,-0.02,-0.77,0.6,114.44,10.5,21.97
2026-08-03 12:38:13.412,-0.02,-0.77,0.6,114.44,10.5,21.97
2026-08-03 12:38:13.412,-0.01,-0.75,0.61,31.98,2.2,14.89
2026-08-03 12:38:13.473,-0.01,-0.75,0.61,31.98,2.2,14.89
2026-08-03 12:38:13.474,-0.0,-0.75,0.57,-43.58,-4.39,0.49
2026-08-03 12:38:13.476,-0.0,-0.75,0.57,-43.58,-4.39,0.49
2026-08-03 12:38:13.530,0.01,-0.77,0.54,-66.96,-9.09,-13.92
2026-08-03 12:38:13.532,0.04,-0.82,0.52,-43.03,-11.47,-20.87
2026-08-03 12:38:13.601,0.04,-0.82,0.52,-43.03,-11.47,-20.87
2026-08-03 12:38:13.601,0.05,-0.86,0.5,-12.15,-8.73,-16.3
2026-08-03 12:38:13.602,0.05,-0.86,0.5,-12.15,-8.73,-16.3
2026-08-03 12:38:13.650,0.05,-0.85,0.5,1.46,-3.17,-6.96
2026-08-03 12:38:13.710,0.05,-0.85,0.5,1.46,-3.17,-6.96
2026-08-03 12:38:13.710,0.05,-0.84,0.51,-3.3,1.53,-0.24
2026-08-03 12:38:13.710,0.05,-0.84,0.51,-3.3,1.53,-0.24
2026-08-03 12:38:13.711,0.06,-0.85,0.5,-18.74,6.16,4.15
2026-08-03 12:38:13.793,0.05,-0.85,0.48,-30.82,10.8,5.98
2026-08-03 12:38:13.794,0.05,-0.85,0.48,-30.82,10.8,5.98
2026-08-03 12:38:13.794,0.05,-0.87,0.46,-31.37,12.82,5.92
2026-08-03 12:38:13.836,0.05,-0.87,0.46,-31.37,12.82,5.92
2026-08-03 12:38:13.837,0.04,-0.89,0.44,-27.47,12.27,7.02
2026-08-03 12:38:13.838,0.04,-0.89,0.44,-27.47,12.27,7.02
2026-08-03 12:38:13.890,0.02,-0.9,0.42,-21.97,11.66,9.95
2026-08-03 12:38:13.891,0.02,-0.9,0.42,-9.03,10.93,11.66
2026-08-03 12:38:13.955,-0.01,-0.88,0.4,-9.03,10.93,11.66
2026-08-03 12:38:13.956,-0.03,-0.86,0.39,11.05,9.09,9.64
2026-08-03 12:38:13.956,-0.03,-0.86,0.39,11.05,9.09,9.64
2026-08-03 12:38:14.011,-0.05,-0.84,0.39,29.54,6.04,5.07
2026-08-03 12:38:14.011,-0.05,-0.84,0.39,29.54,6.04,5.07
2026-08-03 12:38:14.070,-0.05,-0.83,0.41,38.7,-0.55,-2.2
2026-08-03 12:38:14.071,-0.05,-0.83,0.41,38.7,-0.55,-2.2
2026-08-03 12:38:14.072,-0.03,-0.82,0.45,32.04,-10.19,-11.84
2026-08-03 12:38:14.131,-0.03,-0.82,0.45,16.85,-16.91,-19.71
2026-08-03 12:38:14.132,0.01,-0.82,0.44,16.85,-16.91,-19.71
2026-08-03 12:38:14.132,0.02,-0.79,0.41,15.99,-21.85,-29.3
2026-08-03 12:38:14.190,0.02,-0.79,0.41,15.99,-21.85,-29.3
2026-08-03 12:38:14.191,0.02,-0.71,0.36,48.28,-37.6,-58.53
2026-08-03 12:38:14.192,0.02,-0.71,0.36,48.28,-37.6,-58.53
2026-08-03 12:38:14.254,0.06,-0.57,0.3,124.76,-67.44,-111.82
2026-08-03 12:38:14.255,0.06,-0.57,0.3,273.44,-118.65,-161.01
2026-08-03 12:38:14.311,0.18,-0.34,0.22,273.44,-118.65,-161.01
2026-08-03 12:38:14.312,0.45,-0.03,0.24,429.75,-217.83,-151.79
2026-08-03 12:38:14.312,0.45,-0.03,0.24,429.75,-217.83,-151.79
2026-08-03 12:38:14.370,0.91,0.26,0.63,407.96,-326.42,-84.72
2026-08-03 12:38:14.371,0.91,0.26,0.63,407.96,-326.42,-84.72
2026-08-03 12:38:14.454,1.29,0.47,1.1,227.84,-318.24,-48.4
2026-08-03 12:38:14.461,1.34,0.5,1.11,77.88,-153.63,-90.7
2026-08-03 12:38:14.462,1.34,0.5,1.11,77.88,-153.63,-90.7
2026-08-03 12:38:14.491,1.11,0.37,0.84,17.09,43.09,-163.39
2026-08-03 12:38:14.492,1.11,0.37,0.84,17.09,43.09,-163.39
2026-08-03 12:38:14.554,0.79,0.28,0.7,11.54,152.89,-204.77
2026-08-03 12:38:14.555,0.79,0.28,0.7,11.54,152.89,-204.77
2026-08-03 12:38:14.555,0.55,0.37,0.76,-14.04,171.33,-194.76
2026-08-03 12:38:14.611,0.41,0.49,0.8,-107.6,170.59,-146.0
2026-08-03 12:38:14.612,0.41,0.49,0.8,-107.6,170.59,-146.0
2026-08-03 12:38:14.671,0.29,0.37,0.75,-233.89,195.25,-80.32
2026-08-03 12:38:14.671,0.29,0.37,0.75,-233.89,195.25,-80.32
2026-08-03 12:38:14.672,0.17,0.06,0.76,-297.73,205.32,-20.69
2026-08-03 12:38:14.730,0.17,0.06,0.76,-297.73,205.32,-20.69
2026-08-03 12:38:14.731,0.03,-0.1,0.77,-195.86,182.5,23.38
2026-08-03 12:38:14.731,-0.12,0.15,0.76,-2.38,136.78,57.01
2026-08-03 12:38:14.795,-0.12,0.15,0.76,-2.38,136.78,57.01
2026-08-03 12:38:14.796,-0.19,0.48,0.88,115.3,61.46,53.28
2026-08-03 12:38:14.850,-0.19,0.48,0.88,115.3,61.46,53.28
2026-08-03 12:38:14.851,-0.21,0.58,0.93,149.29,-35.71,-24.54
2026-08-03 12:38:14.852,-0.21,0.58,0.93,149.29,-35.71,-24.54
2026-08-03 12:38:14.911,-0.13,0.78,0.89,144.9,-150.45,-163.51
2026-08-03 12:38:14.911,0.2,0.94,1.03,74.46,-209.72,-255.74
2026-08-03 12:38:14.912,0.2,0.94,1.03,74.46,-209.72,-255.74
2026-08-03 12:38:14.970,0.58,0.7,1.21,-16.42,-138.06,-236.88
2026-08-03 12:38:14.971,0.58,0.7,1.21,-16.42,-138.06,-236.88
2026-08-03 12:38:15.064,0.64,0.39,1.09,-31.49,-9.4,-150.82
