Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
2026-07-27 13:32:19.304,0.01,-0.15,1.03,-23.44,11.78,-11.66
2026-07-27 13:32:19.305,0.06,-0.3,1.05,-88.93,-41.99,-56.09
2026-07-27 13:32:19.306,0.06,-0.3,1.05,-88.93,-41.99,-56.09
2026-07-27 13:32:19.307,0.15,-0.37,0.97,-110.41,-63.23,-74.4
2026-07-27 13:32:19.307,0.15,-0.37,0.97,-110.41,-63.23,-74.4
2026-07-27 13:32:19.478,0.21,-0.39,0.9,-93.2,-48.28,-62.07
2026-07-27 13:32:19.479,0.21,-0.38,0.87,-28.87,-5.13,-23.5
2026-07-27 13:32:19.480,0.21,-0.38,0.87,-28.87,-5.13,-23.5
2026-07-27 13:32:19.481,0.18,-0.35,0.85,26.92,25.7,11.05
2026-07-27 13:32:19.506,0.18,-0.35,0.85,26.92,25.7,11.05
2026-07-27 13:32:19.506,0.16,-0.34,0.85,37.11,27.59,26.25
2026-07-27 13:32:19.506,0.16,-0.34,0.85,37.11,27.59,26.25
2026-07-27 13:32:19.506,0.14,-0.36,0.86,18.55,16.85,27.89
2026-07-27 13:32:19.506,0.1,-0.38,0.89,4.7,14.34,25.57
2026-07-27 13:32:19.507,0.1,-0.38,0.89,4.7,14.34,25.57
2026-07-27 13:32:19.540,0.05,-0.39,0.92,4.94,19.71,23.86
2026-07-27 13:32:19.541,0.05,-0.39,0.92,4.94,19.71,23.86
2026-07-27 13:32:19.658,-0.0,-0.4,0.94,8.48,19.53,22.28
2026-07-27 13:32:19.659,-0.0,-0.4,0.94,8.48,19.53,22.28
2026-07-27 13:32:19.659,-0.02,-0.39,0.97,9.46,9.09,18.25
2026-07-27 13:32:19.660,-0.02,-0.39,0.97,5.13,-1.59,11.66
2026-07-27 13:32:19.660,0.01,-0.38,1.01,5.13,-1.59,11.66
2026-07-27 13:32:19.660,0.04,-0.38,0.98,-6.9,-5.37,5.92
2026-07-27 13:32:19.720,0.04,-0.38,0.98,-6.9,-5.37,5.92
2026-07-27 13:32:19.720,0.06,-0.41,0.9,-17.33,-3.3,4.33
2026-07-27 13:32:20.199,0.06,-0.41,0.9,-17.33,-3.3,4.33
2026-07-27 13:32:20.200,0.05,-0.46,0.82,-15.44,2.38,6.59
2026-07-27 13:32:20.201,0.05,-0.46,0.82,-15.44,2.38,6.59
2026-07-27 13:32:20.201,0.02,-0.5,0.81,0.98,11.35,10.13
2026-07-27 13:32:20.202,-0.02,-0.49,0.85,32.04,30.7,11.96
