Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,AccX_smooth,AccY_smooth,AccZ_smooth,GyroX_smooth,GyroY_smooth,GyroZ_smooth,source_file,Worker,source_folder,Sample,Elapsed_s,acc_mag,gyro_mag,event_label,alert_priority
2026-07-21 03:20:25.036,1.0067433496061169,-1.4833154460693423,-0.3953460152126091,-0.1817013870401859,-0.8008897838810929,-0.5357706520266855,0.7844875082979129,-1.4753232075196592,-0.2687612762592331,-0.1880678505409426,-1.0955502047253212,0.0197031506553377,eish_master_preprocessed.csv,worker 4,eishmeet,,,1.835771052247127,0.9805559808346135,Near Miss (STF Risk),MEDIUM
2026-07-21 03:20:25.037,1.0456151234741384,-1.5608592298976285,-0.4090742903963141,-0.1817013870401859,-0.8008897838810929,-0.5357706520266855,0.8784566806854238,-1.5144122238449649,-0.3139174131794931,-0.1794993369802493,-1.0540095686330022,-0.1622121404726395,eish_master_preprocessed.csv,worker 4,eishmeet,,,1.922741349494961,0.9805559808346135,Near Miss (STF Risk),MEDIUM
2026-07-21 03:20:25.096,0.8706921410680416,-1.591876743428943,-0.4228025655800191,-0.2634819962401953,-0.648427240151414,-1.0004310435490802,0.9356553073560828,-1.560016076224488,-0.3618958086572693,-0.1908771992493666,-0.9755271141366624,-0.4558836115032625,eish_master_preprocessed.csv,worker 4,eishmeet,,,1.8630454584493192,1.2209598359527636,Near Miss (STF Risk),MEDIUM
2026-07-21 03:20:25.515,2.4547169261899198,-0.3046499318793956,-1.5347928554601242,-1.3321011537797536,1.437475129221466,1.2738544233619893,0.9397409235468438,-0.2603062834080801,-1.3779088893631184,-1.986784088360924,-0.0898613892055285,1.2526952178316684,eish_master_preprocessed.csv,worker 4,eishmeet,,,2.9110197316213524,2.3374202281469474,Near Miss (STF Risk),MEDIUM
2026-07-21 03:20:25.639,2.4547169261899198,-0.2736324183480813,-1.4798797547253042,-1.2652944589403092,1.3787876635761351,0.4209143507589884,1.4953847254903867,-0.2700785374894065,-1.420242767725862,-1.986784088360924,0.5710371212100657,1.2973593514805817,eish_master_preprocessed.csv,worker 4,eishmeet,,,2.8793322101730694,1.9181226185334577,Near Miss (STF Risk),MEDIUM
2026-07-21 03:20:25.640,2.4547169261899198,-0.2736324183480813,-1.2739556269697294,-1.2986978063600316,1.19211157604471,-0.4750645917277334,2.010172365526317,-0.2798507915707329,-1.4202427677258616,-1.8925348288006532,1.186703839230892,1.1265302222811973,eish_master_preprocessed.csv,worker 4,eishmeet,,,2.779113676621045,1.8257689799910608,Near Miss (STF Risk),MEDIUM
2026-07-21 03:20:25.641,2.1340247917787414,-0.2271061480511096,-0.9993901232956292,-1.1580293993381845,0.9740938845197146,-1.1616939695948745,2.3492785093595083,-0.2896230456520592,-1.3637975965755371,-1.6481917248854738,1.4178851942064252,0.4840120593246202,eish_master_preprocessed.csv,worker 4,eishmeet,,,2.367365546963495,1.907727408353552,Near Miss (STF Risk),MEDIUM
2026-07-21 03:20:25.642,2.1340247917787414,-0.2271061480511096,-0.9993901232956292,-0.7361681582184182,0.7104997569084516,-1.556615451583462,2.4386513635324127,-0.2733359555165153,-1.2875966155225984,-1.41561276868682,1.381699760290611,-0.3525299116790604,eish_master_preprocessed.csv,worker 4,eishmeet,,,2.367365546963495,1.8627412933228416,Near Miss (STF Risk),MEDIUM
2026-07-21 03:20:25.698,1.6675635053624829,-0.1185448506915092,-0.7797377203563493,-0.7361681582184182,0.7104997569084516,-1.556615451583462,2.390134671267122,-0.2342469391912097,-1.1323723948592048,-1.2702640898847324,1.2055529406770058,-1.033290541000265,eish_master_preprocessed.csv,worker 4,eishmeet,,,1.844671200672033,1.8627412933228416,Near Miss (STF Risk),MEDIUM
2026-07-21 03:20:26.355,0.1904360983776646,-0.2271061480511096,-1.9740976613386845,0.9422060696768436,-0.5767536118952012,-1.5663124809091151,0.6169772444766976,-0.0550889477002262,-1.6093340910794505,1.216430919376793,-0.504269322604283,-1.6512082869971405,eish_master_preprocessed.csv,worker 4,eishmeet,,,1.9962226044584266,1.9166981490108745,Near Miss (STF Risk),MEDIUM
